,precision,recall,f1-score,support
Benign,0.7290843806104129,0.8122,0.7684011352885525,10000.0
BruteForce,0.7581018518518519,0.501531393568147,0.6036866359447005,2612.0
DDoS,0.8915306515871996,0.6937,0.780271075867499,10000.0
DoS,0.7492021929465674,0.9156,0.8240853246928581,10000.0
Mirai,0.9990998199639928,0.9989,0.998999899989999,10000.0
Recon,0.6839579938439254,0.7555,0.7179511546137033,10000.0
Spoofing,0.9257530759439966,0.8728,0.898497014618077,10000.0
Web,0.6399055489964581,0.5458207452165156,0.5891304347826087,4965.0
accuracy,0.8065909998964145,0.8065909998964145,0.8065909998964145,0.8065909998964145
macro avg,0.7970794394680506,0.7620065173480828,0.7726278344747497,67577.0
weighted avg,0.8130513967291446,0.8065909998964145,0.8047696428147165,67577.0
