,precision,recall,f1-score,support
Benign,0.7243406985032074,0.813,0.7661138333961552,10000.0
BruteForce,0.7374581939799331,0.5065084226646248,0.6005447117566954,2612.0
DDoS,0.8747382682596379,0.7102,0.7839284728737789,10000.0
DoS,0.7560421052631578,0.8978,0.8208457142857143,10000.0
Mirai,0.9986005597760895,0.999,0.9988002399520096,10000.0
Recon,0.6869937198507327,0.7548,0.7193024253109067,10000.0
Spoofing,0.9183459277917716,0.875,0.8961491192134371,10000.0
Web,0.6539792387543253,0.5329305135951662,0.5872822106314505,4965.0
accuracy,0.8059990825280791,0.8059990825280791,0.8059990825280791,0.8059990825280791
macro avg,0.7938123390223569,0.7611548670324739,0.7716208409275185,67577.0
weighted avg,0.8103920049356554,0.8059990825280791,0.8040587331964079,67577.0
