,precision,recall,f1-score,support
Benign,0.7268960547649073,0.807,0.7648564117145294,10000.0
BruteForce,0.7541866028708134,0.4827718223583461,0.588702147525677,2612.0
DDoS,0.8675626145387905,0.7101,0.7809733296673083,10000.0
DoS,0.7546131708142881,0.8915,0.8173649949573668,10000.0
Mirai,0.9989,0.9989,0.9989,10000.0
Recon,0.6775179856115108,0.7534,0.7134469696969697,10000.0
Spoofing,0.9155490360435876,0.8738,0.8941874744167008,10000.0
Web,0.6321256038647343,0.5270896273917421,0.5748489840746842,4965.0
accuracy,0.80241798244965,0.80241798244965,0.80241798244965,0.80241798244965
macro avg,0.790918883563579,0.7555701812187611,0.7666600390066545,67577.0
weighted avg,0.8067660246477029,0.80241798244965,0.8004070470692192,67577.0
