,precision,recall,f1-score,support
Benign,0.7080498365291155,0.8013,0.7517943425435099,10000.0
BruteForce,0.7436224489795918,0.4464012251148545,0.5578947368421052,2612.0
DDoS,0.8585748792270531,0.7109,0.7777899343544857,10000.0
DoS,0.7532234651182649,0.8821,0.812583483027037,10000.0
Mirai,0.9984012789768185,0.9992,0.9988004798080767,10000.0
Recon,0.6617972554227535,0.7475,0.7020427330359239,10000.0
Spoofing,0.9223832528180355,0.8592,0.889671239968936,10000.0
Web,0.6071516042125887,0.49929506545820745,0.5479664014146772,4965.0
accuracy,0.7938647764772038,0.7938647764772038,0.7938647764772038,0.7938647764772038
macro avg,0.7816505026605276,0.7432370363216327,0.754817918874344,67577.0
weighted avg,0.7988094948365658,0.7938647764772038,0.791758976619784,67577.0
