Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,macro_f1_metric,Time Taken
RandomForestClassifier,0.7938647764772038,0.7432370363216327,,0.791758976619784,0.754817918874344,101.73929715156555
ExtraTreesClassifier,0.769433387099161,0.7202958214777563,,0.7673536761641248,0.7305060119473474,79.549635887146
DecisionTreeClassifier,0.730218861446942,0.6874309146028323,,0.7299488465214335,0.6870684765413257,8.85203218460083
KNeighborsClassifier,0.721251313316661,0.6674829892324372,,0.7173855104923536,0.6740619651372499,158.00890398025513
LogisticRegression,0.6793139677700993,0.6120321213656391,,0.6685332454935642,0.6201771325867775,14.001360177993774
SGDClassifier,0.666794915429806,0.6000363943662297,,0.6537564326069855,0.6031101727607179,10.827870845794678
LinearDiscriminantAnalysis,0.6503544105242908,0.598685228760589,,0.6440190461114655,0.6041749349705576,2.6868364810943604
RidgeClassifier,0.6504431981295411,0.5774491091738648,,0.6250476711595991,0.5710941387746471,2.083848476409912
GaussianNB,0.6063453541885553,0.5660429989829264,,0.5884975388253217,0.5346486166034979,2.8969945907592773
AdaBoostClassifier,0.4616067596963464,0.389925,,0.38709120189512436,0.3269807768808352,54.846110582351685
