,precision,recall,f1-score,support
Benign,0.3118975618975619,0.6601,0.42362982929020665,10000.0
BruteForce,0.0,0.0,0.0,2612.0
DDoS,0.5475928641251222,0.8963,0.6798391990291263,10000.0
DoS,0.6883664858348403,0.2284,0.3429944436101517,10000.0
Mirai,0.9597589424572317,0.9874,0.9733832807570978,10000.0
Recon,0.2,0.0001,0.0001999000499750125,10000.0
Spoofing,0.3424565681194758,0.5618,0.4255254686612384,10000.0
Web,0.0,0.0,0.0,4965.0
accuracy,0.49337792444174794,0.49337792444174794,0.49337792444174794,0.49337792444174794
macro avg,0.38125905280427896,0.41676250000000004,0.35569651517472445,67577.0
weighted avg,0.45134771037989724,0.49337792444174794,0.42108589037657723,67577.0
