,precision,recall,f1-score,support
Benign,0.7009370119729308,0.8079,0.7506271485645266,10000.0
BruteForce,0.8021739130434783,0.42381316998468604,0.5546092184368737,2612.0
DDoS,0.8922956996232299,0.6868,0.7761767531219981,10000.0
DoS,0.74509963399756,0.9161,0.8217986095537116,10000.0
Mirai,0.9983008495752124,0.9988,0.9985503624093977,10000.0
Recon,0.6577847439916406,0.7554,0.7032210016756656,10000.0
Spoofing,0.9197616260508673,0.8643,0.8911687374336238,10000.0
Web,0.6335354600580015,0.48398791540785496,0.5487554236126969,4965.0
accuracy,0.7961732542137118,0.7961732542137118,0.7961732542137118,0.7961732542137118
macro avg,0.7937361172891151,0.7421376356740677,0.7556134068510618,67577.0
weighted avg,0.8047498035155741,0.7961732542137118,0.7930011110937655,67577.0
