,precision,recall,f1-score,support
Benign,0.671264367816092,0.73,0.6994011976047905,400.0
BruteForce,0.6789772727272727,0.5975,0.6356382978723404,400.0
DDoS,0.9090909090909091,0.675,0.7747489239598279,400.0
DoS,0.7430278884462151,0.9325,0.8270509977827051,400.0
Mirai,0.9975062344139651,1.0,0.9987515605493134,400.0
Recon,0.6737967914438503,0.63,0.6511627906976745,400.0
Spoofing,0.9050279329608939,0.81,0.8548812664907651,400.0
Web,0.553014553014553,0.665,0.6038592508513053,400.0
accuracy,0.755,0.755,0.755,0.755
macro avg,0.7664632437392189,0.755,0.7556867857260903,3200.0
weighted avg,0.7664632437392188,0.755,0.7556867857260903,3200.0
