,precision,recall,f1-score,support
Benign,0.0,0.0,0.0,400.0
BruteForce,0.3879310344827586,0.3375,0.3609625668449198,400.0
DDoS,0.3953900709219858,0.5575,0.46265560165975106,400.0
DoS,0.0,0.0,0.0,400.0
Mirai,1.0,0.63,0.7730061349693251,400.0
Recon,0.30386740331491713,0.1375,0.18932874354561102,400.0
Spoofing,0.26639344262295084,0.4875,0.34452296819787986,400.0
Web,0.25111308993766696,0.705,0.3703217334208798,400.0
accuracy,0.356875,0.356875,0.356875,0.356875
macro avg,0.3255868801600349,0.356875,0.31259971857979585,3200.0
weighted avg,0.32558688016003495,0.356875,0.31259971857979585,3200.0
