y_real,y_pred
Mirai,Mirai
Mirai,Mirai
Mirai,Mirai
Mirai,Mirai
Mirai,Mirai
Mirai,DDoS
Mirai,Mirai
Mirai,DDoS
Mirai,BruteForce
Mirai,DDoS
Mirai,DDoS
Mirai,Mirai
Mirai,Mirai
Mirai,Mirai
Mirai,DDoS
Mirai,DDoS
Mirai,DDoS
Mirai,Mirai
Mirai,Mirai
Mirai,Mirai
Mirai,DDoS
Mirai,Mirai
Mirai,Mirai
Mirai,Mirai
Mirai,Mirai
Mirai,DDoS
Mirai,BruteForce
Mirai,Mirai
Mirai,DDoS
Mirai,Mirai
Mirai,Spoofing
Mirai,Mirai
Mirai,Mirai
Mirai,DDoS
Mirai,Mirai
Mirai,DDoS
Mirai,Mirai
Mirai,Mirai
Mirai,Mirai
Mirai,Mirai
Mirai,DDoS
Mirai,DDoS
Mirai,Mirai
Mirai,Mirai
Mirai,Mirai
Mirai,Mirai
Mirai,DDoS
Mirai,Mirai
Mirai,Mirai
Mirai,DDoS
Mirai,Mirai
Mirai,DDoS
Mirai,Mirai
Mirai,DDoS
Mirai,Mirai
Mirai,Mirai
Mirai,DDoS
Mirai,Mirai
Mirai,Mirai
Mirai,DDoS
Mirai,Mirai
Mirai,Mirai
Mirai,DDoS
Mirai,BruteForce
Mirai,Mirai
Mirai,Mirai
Mirai,DDoS
Mirai,Mirai
Mirai,Mirai
Mirai,DDoS
Mirai,Mirai
Mirai,DDoS
Mirai,Mirai
Mirai,DDoS
Mirai,Mirai
Mirai,DDoS
Mirai,Mirai
Mirai,Mirai
Mirai,Mirai
Mirai,Mirai
Mirai,Mirai
Mirai,Mirai
Mirai,DDoS
Mirai,Mirai
Mirai,Mirai
Mirai,DDoS
Mirai,DDoS
Mirai,Mirai
Mirai,Mirai
Mirai,DDoS
Mirai,DDoS
Mirai,Mirai
Mirai,DDoS
Mirai,Mirai
Mirai,DDoS
Mirai,DDoS
Mirai,Mirai
Mirai,Mirai
Mirai,Mirai
Mirai,Mirai
Mirai,BruteForce
Mirai,Mirai
Mirai,Mirai
Mirai,DDoS
