,precision,recall,f1-score,support
Benign,0.6768867924528302,0.7175,0.6966019417475728,400.0
BruteForce,0.663013698630137,0.605,0.6326797385620915,400.0
DDoS,0.8470588235294118,0.72,0.7783783783783784,400.0
DoS,0.7581699346405228,0.87,0.8102444703143189,400.0
Mirai,0.9975062344139651,1.0,0.9987515605493134,400.0
Recon,0.6552631578947369,0.6225,0.6384615384615384,400.0
Spoofing,0.8859416445623343,0.835,0.8597168597168597,400.0
Web,0.552863436123348,0.6275,0.5878220140515221,400.0
accuracy,0.7496875,0.7496875,0.7496875,0.7496875
macro avg,0.7545879652809109,0.7496875,0.7503320627226995,3200.0
weighted avg,0.7545879652809109,0.7496875,0.7503320627226994,3200.0
