,precision,recall,f1-score,support
Benign,0.6404494382022472,0.7125,0.6745562130177516,400.0
BruteForce,0.6852941176470588,0.5825,0.6297297297297297,400.0
DDoS,0.8410404624277457,0.7275,0.7801608579088471,400.0
DoS,0.7604395604395604,0.865,0.8093567251461988,400.0
Mirai,1.0,0.9975,0.9987484355444306,400.0
Recon,0.6421052631578947,0.61,0.6256410256410256,400.0
Spoofing,0.8707124010554089,0.825,0.8472400513478818,400.0
Web,0.5197368421052632,0.5925,0.5537383177570093,400.0
accuracy,0.7390625,0.7390625,0.7390625,0.7390625
macro avg,0.7449722606293974,0.7390625,0.7398964195116093,3200.0
weighted avg,0.7449722606293974,0.7390625,0.7398964195116093,3200.0
