,precision,recall,f1-score,support
Benign,0.647450110864745,0.73,0.6862514688601645,400.0
BruteForce,0.6810344827586207,0.5925,0.6336898395721925,400.0
DDoS,0.8618618618618619,0.7175,0.7830832196452933,400.0
DoS,0.7580299785867237,0.885,0.8166089965397924,400.0
Mirai,0.9975,0.9975,0.9975,400.0
Recon,0.627906976744186,0.6075,0.6175349428208387,400.0
Spoofing,0.9030470914127424,0.815,0.8567674113009198,400.0
Web,0.5386313465783664,0.61,0.5720984759671747,400.0
accuracy,0.744375,0.744375,0.744375,0.744375
macro avg,0.7519327311009057,0.744375,0.7454417943382969,3200.0
weighted avg,0.7519327311009059,0.744375,0.7454417943382969,3200.0
