y_real,y_pred
Mirai,Mirai
Mirai,Mirai
Mirai,Mirai
Mirai,Mirai
Mirai,Mirai
Mirai,Mirai
Mirai,Mirai
Mirai,Mirai
Mirai,Mirai
Mirai,Mirai
Mirai,Mirai
Mirai,Mirai
Mirai,Mirai
Mirai,Mirai
Mirai,Mirai
Mirai,Mirai
Mirai,Mirai
Mirai,Mirai
Mirai,Mirai
Mirai,Mirai
Mirai,Mirai
Mirai,Mirai
Mirai,Mirai
Mirai,Mirai
Mirai,Mirai
Mirai,Mirai
Mirai,Mirai
Mirai,Mirai
Mirai,Mirai
Mirai,Mirai
Mirai,Mirai
Mirai,Mirai
Mirai,Mirai
Mirai,Mirai
Mirai,Mirai
Mirai,Mirai
Mirai,Mirai
Mirai,Mirai
Mirai,Mirai
Mirai,Mirai
Mirai,Mirai
Mirai,Mirai
Mirai,Mirai
Mirai,Mirai
Mirai,Mirai
Mirai,Mirai
Mirai,Mirai
Mirai,Mirai
Mirai,Mirai
Mirai,Mirai
Mirai,Mirai
Mirai,Mirai
Mirai,Mirai
Mirai,Mirai
Mirai,Mirai
Mirai,Mirai
Mirai,Mirai
Mirai,Mirai
Mirai,Mirai
Mirai,Mirai
Mirai,Mirai
Mirai,Mirai
Mirai,Mirai
Mirai,Mirai
Mirai,Mirai
Mirai,Mirai
Mirai,Mirai
Mirai,Mirai
Mirai,Mirai
Mirai,Mirai
Mirai,Mirai
Mirai,Mirai
Mirai,Mirai
Mirai,Mirai
Mirai,Mirai
Mirai,Mirai
Mirai,Mirai
Mirai,Mirai
Mirai,Mirai
Mirai,Mirai
Mirai,Mirai
Mirai,Mirai
Mirai,Mirai
Mirai,Mirai
Mirai,Mirai
Mirai,Mirai
Mirai,Mirai
Mirai,Mirai
Mirai,Mirai
Mirai,Mirai
Mirai,Mirai
Mirai,Mirai
Mirai,Mirai
Mirai,Mirai
Mirai,Mirai
Mirai,Mirai
Mirai,Mirai
Mirai,Mirai
Mirai,Mirai
Mirai,Mirai
Mirai,Mirai
Mirai,Mirai
Mirai,Mirai
Mirai,Mirai
Mirai,Mirai
