,precision,recall,f1-score,support
Benign,0.6835748792270532,0.7075,0.6953316953316954,400.0
BruteForce,0.6205128205128205,0.605,0.6126582278481013,400.0
DDoS,0.8405797101449275,0.725,0.7785234899328859,400.0
DoS,0.756578947368421,0.8625,0.8060747663551402,400.0
Mirai,0.9974937343358395,0.995,0.9962453066332916,400.0
Recon,0.6206030150753769,0.6175,0.6190476190476191,400.0
Spoofing,0.8779840848806366,0.8275,0.851994851994852,400.0
Web,0.5510688836104513,0.58,0.5651644336175395,400.0
accuracy,0.74,0.74,0.74,0.74
macro avg,0.7435495093944408,0.74,0.7406300488451406,3200.0
weighted avg,0.7435495093944408,0.74,0.7406300488451407,3200.0
