,precision,recall,f1-score,support
Benign,0.6506849315068494,0.7125,0.6801909307875895,400.0
BruteForce,0.6620111731843575,0.5925,0.6253298153034301,400.0
DDoS,0.7905759162303665,0.755,0.7723785166240409,400.0
DoS,0.7673860911270983,0.8,0.7833537331701347,400.0
Mirai,0.9975062344139651,1.0,0.9987515605493134,400.0
Recon,0.6543535620052771,0.62,0.6367137355584083,400.0
Spoofing,0.8925619834710744,0.81,0.8492791612057667,400.0
Web,0.551948051948052,0.6375,0.5916473317865429,400.0
accuracy,0.7409375,0.7409375,0.7409375,0.7409375
macro avg,0.7458784929858799,0.7409375,0.7422055981231533,3200.0
weighted avg,0.7458784929858799,0.7409375,0.7422055981231533,3200.0
