Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,macro_f1_metric,Time Taken
RandomForestClassifier,0.7409375,0.7409375,,0.7422055981231533,0.7422055981231533,3.3711166381835938
ExtraTreesClassifier,0.7125,0.7124999999999999,,0.7131706500294341,0.7131706500294341,2.6851375102996826
DecisionTreeClassifier,0.6715625,0.6715625,,0.671217665223987,0.671217665223987,0.29253101348876953
KNeighborsClassifier,0.6609375,0.6609375,,0.6590064732075263,0.6590064732075263,0.6303701400756836
LogisticRegression,0.625,0.625,,0.6229148245071211,0.6229148245071211,0.5672817230224609
SGDClassifier,0.5984375,0.5984375,,0.5978790957202728,0.5978790957202726,0.7821593284606934
RidgeClassifier,0.5975,0.5975,,0.5902966626270446,0.5902966626270446,0.12258243560791016
LinearDiscriminantAnalysis,0.5946875,0.5946875,,0.5879648437597016,0.5879648437597016,0.18748736381530762
GaussianNB,0.5328125,0.5328125,,0.5001948109503942,0.5001948109503942,0.13291335105895996
AdaBoostClassifier,0.3296875,0.3296875,,0.21334435332065793,0.213344353320658,3.3766260147094727
