,precision,recall,f1-score,support
Benign,0.2458233890214797,0.515,0.33279483037156704,400.0
BruteForce,0.3215547703180212,0.2275,0.2664714494875549,400.0
DDoS,0.5099601593625498,0.96,0.6660884648742411,400.0
DoS,0.6511627906976745,0.07,0.12641083521444696,400.0
Mirai,0.9490291262135923,0.9775,0.9630541871921182,400.0
Recon,0.0,0.0,0.0,400.0
Spoofing,0.28010139416983526,0.5525,0.37174095878889823,400.0
Web,0.10975609756097561,0.0225,0.03734439834024896,400.0
accuracy,0.415625,0.415625,0.415625,0.415625
macro avg,0.383423465918016,0.415625,0.3454881405336344,3200.0
weighted avg,0.383423465918016,0.415625,0.3454881405336344,3200.0
