y_real,y_pred
Mirai,Mirai
Mirai,Mirai
Mirai,Mirai
Mirai,Mirai
Mirai,Mirai
Mirai,Mirai
Mirai,Mirai
Mirai,Mirai
Mirai,Mirai
Mirai,Mirai
Mirai,Mirai
Mirai,Mirai
Mirai,Mirai
Mirai,Mirai
Mirai,Mirai
Mirai,Mirai
Mirai,Mirai
Mirai,Mirai
Mirai,Mirai
Mirai,Mirai
Mirai,Mirai
Mirai,Mirai
Mirai,Mirai
Mirai,Mirai
Mirai,Mirai
Mirai,Mirai
Mirai,DoS
Mirai,Mirai
Mirai,Mirai
Mirai,DDoS
Mirai,Mirai
Mirai,Mirai
Mirai,Mirai
Mirai,Mirai
Mirai,Mirai
Mirai,Mirai
Mirai,Mirai
Mirai,Mirai
Mirai,Mirai
Mirai,Mirai
Mirai,Mirai
Mirai,Mirai
Mirai,Mirai
Mirai,Mirai
Mirai,Mirai
Mirai,Mirai
Mirai,Mirai
Mirai,Mirai
Mirai,Mirai
Mirai,Mirai
Mirai,Mirai
Mirai,Mirai
Mirai,Mirai
Mirai,Mirai
Mirai,Mirai
Mirai,Mirai
Mirai,Mirai
Mirai,Mirai
Mirai,Mirai
Mirai,Mirai
Mirai,Mirai
Mirai,DDoS
Mirai,Mirai
Mirai,Mirai
Mirai,Mirai
Mirai,Mirai
Mirai,Mirai
Mirai,Mirai
Mirai,Mirai
Mirai,Mirai
Mirai,Mirai
Mirai,Mirai
Mirai,Mirai
Mirai,Mirai
Mirai,Mirai
Mirai,Mirai
Mirai,Mirai
Mirai,Mirai
Mirai,Mirai
Mirai,Mirai
Mirai,Mirai
Mirai,Mirai
Mirai,Mirai
Mirai,Mirai
Mirai,Mirai
Mirai,Mirai
Mirai,Mirai
Mirai,Mirai
Mirai,Mirai
Mirai,Mirai
Mirai,Mirai
Mirai,Mirai
Mirai,Mirai
Mirai,Mirai
Mirai,Mirai
Mirai,Mirai
Mirai,Mirai
Mirai,Mirai
Mirai,Mirai
Mirai,Mirai
Mirai,Mirai
Mirai,Mirai
Mirai,Mirai
Mirai,Mirai
Mirai,Mirai
