Framework,Status,Duração (s),Erro,Accuracy,Balanced Accuracy,Precision Macro,Recall Macro,Macro-F1,Weighted-F1,MCC,ROC-AUC,Average Precision
autogluon,success,639.0445230007172,,0.755,0.755,0.7664632437392189,0.755,0.7556867857260903,0.7556867857260903,0.7213515460741086,,
autopytorch,success,817.4160768985748,,0.7496875,0.7496875,0.7545879652809109,0.7496875,0.7503320627226995,0.7503320627226994,0.7144361928299674,,
sklearn,success,182.96478009223938,,0.7471875,0.7471875,0.7519635854975684,0.7471875,0.7479086483599187,0.7479086483599187,0.7115367001614202,,
flaml,success,609.1455204486847,,0.744375,0.744375,0.7519327311009057,0.744375,0.7454417943382969,0.7454417943382969,0.7086002182578791,,
lazypredict,success,17.217252016067505,,0.7409375,0.7409375,0.7458784929858799,0.7409375,0.7422055981231533,0.7422055981231533,0.7043011005992974,,
h2o,success,620.6055474281311,,0.74,0.74,0.7435495093944408,0.74,0.7406300488451406,0.7406300488451407,0.7031488217716019,,
autosklearn,success,619.777601480484,,0.7390625,0.7390625,0.7449722606293974,0.7390625,0.7398964195116093,0.7398964195116093,0.70239524391697,,
tpot,success,630.8331010341644,,0.7378125,0.7378125,0.7439861545149586,0.7378125,0.7386061274633005,0.7386061274633003,0.7010099493804837,,
pycaret,success,89.00969648361206,,0.415625,0.415625,0.383423465918016,0.415625,0.3454881405336344,0.3454881405336344,0.3495501499344784,,
autokeras,success,247.64361333847046,,0.356875,0.356875,0.3255868801600349,0.356875,0.3125997185797958,0.3125997185797958,0.2820837228620036,,
