,precision,recall,f1-score,support
Benign,0.6628440366972477,0.7225,0.6913875598086124,400.0
BruteForce,0.6833333333333333,0.615,0.6473684210526316,400.0
DDoS,0.8376811594202899,0.7225,0.7758389261744967,400.0
DoS,0.756043956043956,0.86,0.8046783625730994,400.0
Mirai,0.9975,0.9975,0.9975,400.0
Recon,0.6484375,0.6225,0.6352040816326531,400.0
Spoofing,0.8803191489361702,0.8275,0.8530927835051546,400.0
Web,0.5495495495495496,0.61,0.5781990521327014,400.0
accuracy,0.7471875,0.7471875,0.7471875,0.7471875
macro avg,0.7519635854975684,0.7471875,0.7479086483599187,3200.0
weighted avg,0.7519635854975684,0.7471875,0.7479086483599187,3200.0
