,precision,recall,f1-score,support
Benign,0.6261261261261262,0.695,0.6587677725118484,400.0
BruteForce,0.6549707602339181,0.56,0.6037735849056604,400.0
DDoS,0.8625730994152047,0.7375,0.7951482479784366,400.0
DoS,0.7690631808278867,0.8825,0.8218859138533178,400.0
Mirai,1.0,0.9975,0.9987484355444305,400.0
Recon,0.6308900523560209,0.6025,0.6163682864450127,400.0
Spoofing,0.8766756032171582,0.8175,0.8460543337645536,400.0
Web,0.5315904139433552,0.61,0.5681024447031432,400.0
accuracy,0.7378125,0.7378125,0.7378125,0.7378125
macro avg,0.7439861545149586,0.7378125,0.7386061274633005,3200.0
weighted avg,0.7439861545149588,0.7378125,0.7386061274633003,3200.0
