Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,macro_f1_metric,Time Taken
RandomForestClassifier,0.9907,0.9907,,0.9906993592788608,0.9906993592788607,20.33423137664795
AdaBoostClassifier,0.989,0.989,,0.98899902795411,0.9889990279541101,13.310261487960815
ExtraTreesClassifier,0.98845,0.98845,,0.9884488564079064,0.9884488564079066,8.13794755935669
KNeighborsClassifier,0.98765,0.98765,,0.9876485459559513,0.9876485459559513,14.721080780029297
LogisticRegression,0.9868,0.9868,,0.986797803022401,0.9867978030224009,1.0066273212432861
SGDClassifier,0.9866,0.9866,,0.9865976647771109,0.9865976647771109,0.6936442852020264
RidgeClassifier,0.9865,0.9864999999999999,,0.9864976115625094,0.9864976115625093,0.6374361515045166
LinearDiscriminantAnalysis,0.9865,0.9864999999999999,,0.9864976115625094,0.9864976115625093,0.7574582099914551
DecisionTreeClassifier,0.98545,0.9854499999999999,,0.9854499970536245,0.9854499970536243,2.1040399074554443
GaussianNB,0.98535,0.98535,,0.9853482751623229,0.9853482751623228,0.5019130706787109
