Framework,Status,Duração (s),Erro,Accuracy,Balanced Accuracy,Precision Macro,Recall Macro,Macro-F1,Weighted-F1,MCC,Precision Malicious,Recall Malicious,F1 Malicious,ROC-AUC,Average Precision
flaml,success,3608.1957111358643,,0.99125,0.99125,0.9913711180668924,0.99125,0.9912494607698964,0.9912494607698962,0.9826211106023744,0.9990856446205424,0.9834,0.99118076903694,0.99692908,0.9977937694630264
autogluon,success,484.0481719970703,,0.99125,0.99125,0.9913711180668924,0.99125,0.9912494607698964,0.9912494607698962,0.9826211106023744,0.9990856446205424,0.9834,0.99118076903694,0.997330845,0.9979891225713192
autopytorch,success,4307.786904573441,,0.9911,0.9911,0.9912386471957846,0.9911,0.9910993719716864,0.9910993719716862,0.9823386374114575,0.9994914564686738,0.9827,0.9910246066962484,0.997320905,0.998030055621676
pycaret,success,186.71731209754944,,0.99105,0.99105,0.9911773180726176,0.99105,0.9910494199800384,0.991049419980038,0.9822273098210188,0.9990852728935868,0.983,0.9909773678108776,0.997228015,0.9979608093425336
sklearn,success,732.4802525043488,,0.991,0.991,0.9911353372535336,0.991,0.9909993799472844,0.9909993799472846,0.9821353279288654,0.9992881838519424,0.9827,0.990924674800847,0.997109245,0.9977825650745488
tpot,success,4182.24578666687,,0.9909,0.9909,0.9910320679850052,0.9909,0.990899388074854,0.990899388074854,0.9819320591035594,0.9990849938999592,0.9827,0.990824763057068,0.9968112849999998,0.9975688677127648
autosklearn,success,3619.8655195236206,,0.9908,0.9908,0.9909520773154692,0.9908,0.990799287496824,0.990799287496824,0.9817520655367776,0.9995928338762216,0.982,0.990718321226796,0.99720434,0.9979482054164984
lazypredict,success,70.74720096588135,,0.9907,0.9907,0.9908352545627472,0.9907,0.9906993592788608,0.9906993592788608,0.9815352452437764,0.998983119788489,0.9824,0.9906221639608752,0.996743455,0.99731227614599
h2o,success,3635.5124118328094,,0.98855,0.98855,0.988588701111015,0.98855,0.9885497732568848,0.9885497732568848,0.977138700344606,0.992937140550903,0.9841,0.988498819747878,0.996389975,0.9973893381089536
autokeras,success,1977.6955535411835,,0.98245,0.98245,0.9825750882886352,0.98245,0.9824488626424214,0.9824488626424212,0.9650250801815508,0.9903445472100824,0.9744,0.9823075759866928,0.9843412149999998,0.9806531006698728
