pipeline,generation,mutation_count,crossover_count,predecessor,operator_count,internal_cv_score
GaussianNB(input_matrix),0,0,0,"('ROOT',)",1,0.7376417875993772
"RandomForestClassifier(MinMaxScaler(input_matrix), RandomForestClassifier__bootstrap=True, RandomForestClassifier__criterion=gini, RandomForestClassifier__max_features=0.2, RandomForestClassifier__min_samples_leaf=8, RandomForestClassifier__min_samples_split=4, RandomForestClassifier__n_estimators=100)",0,0,0,"('ROOT',)",2,0.9907243288804601
"KNeighborsClassifier(input_matrix, KNeighborsClassifier__n_neighbors=3, KNeighborsClassifier__p=1, KNeighborsClassifier__weights=distance)",0,0,0,"('ROOT',)",1,0.9849360761078344
"LinearSVC(SelectFwe(input_matrix, SelectFwe__alpha=0.036000000000000004), LinearSVC__C=0.0001, LinearSVC__dual=True, LinearSVC__loss=squared_hinge, LinearSVC__penalty=l2, LinearSVC__tol=0.001)",0,0,0,"('ROOT',)",2,0.9361675984984789
"ExtraTreesClassifier(input_matrix, ExtraTreesClassifier__bootstrap=False, ExtraTreesClassifier__criterion=entropy, ExtraTreesClassifier__max_features=0.35000000000000003, ExtraTreesClassifier__min_samples_leaf=18, ExtraTreesClassifier__min_samples_split=9, ExtraTreesClassifier__n_estimators=100)",0,0,0,"('ROOT',)",1,0.9886110895736518
"ExtraTreesClassifier(input_matrix, ExtraTreesClassifier__bootstrap=True, ExtraTreesClassifier__criterion=entropy, ExtraTreesClassifier__max_features=0.8, ExtraTreesClassifier__min_samples_leaf=19, ExtraTreesClassifier__min_samples_split=5, ExtraTreesClassifier__n_estimators=100)",0,0,0,"('ROOT',)",1,0.9885735818764653
"MLPClassifier(RobustScaler(input_matrix), MLPClassifier__alpha=0.0001, MLPClassifier__learning_rate_init=0.01)",0,0,0,"('ROOT',)",2,0.9898242968795679
"RandomForestClassifier(input_matrix, RandomForestClassifier__bootstrap=False, RandomForestClassifier__criterion=entropy, RandomForestClassifier__max_features=0.25, RandomForestClassifier__min_samples_leaf=6, RandomForestClassifier__min_samples_split=8, RandomForestClassifier__n_estimators=100)",0,0,0,"('ROOT',)",1,0.9915494600993389
"GradientBoostingClassifier(input_matrix, GradientBoostingClassifier__learning_rate=1.0, GradientBoostingClassifier__max_depth=6, GradientBoostingClassifier__max_features=0.55, GradientBoostingClassifier__min_samples_leaf=18, GradientBoostingClassifier__min_samples_split=13, GradientBoostingClassifier__n_estimators=100, GradientBoostingClassifier__subsample=0.25)",0,0,0,"('ROOT',)",1,0.8587039665615259
"MultinomialNB(SelectFwe(input_matrix, SelectFwe__alpha=0.002), MultinomialNB__alpha=100.0, MultinomialNB__fit_prior=True)",0,0,0,"('ROOT',)",2,0.8300664562297186
"MultinomialNB(input_matrix, MultinomialNB__alpha=1.0, MultinomialNB__fit_prior=False)",0,0,0,"('ROOT',)",1,0.8300664562297186
"MLPClassifier(input_matrix, MLPClassifier__alpha=0.01, MLPClassifier__learning_rate_init=0.01)",0,0,0,"('ROOT',)",1,0.9663069133853778
"BernoulliNB(input_matrix, BernoulliNB__alpha=1.0, BernoulliNB__fit_prior=True)",0,0,0,"('ROOT',)",1,0.8984927830781185
"ExtraTreesClassifier(PolynomialFeatures(input_matrix, PolynomialFeatures__degree=2, PolynomialFeatures__include_bias=False, PolynomialFeatures__interaction_only=False), ExtraTreesClassifier__bootstrap=False, ExtraTreesClassifier__criterion=gini, ExtraTreesClassifier__max_features=0.9500000000000001, ExtraTreesClassifier__min_samples_leaf=15, ExtraTreesClassifier__min_samples_split=11, ExtraTreesClassifier__n_estimators=100)",0,0,0,"('ROOT',)",2,-inf
"ExtraTreesClassifier(Binarizer(input_matrix, Binarizer__threshold=0.15000000000000002), ExtraTreesClassifier__bootstrap=False, ExtraTreesClassifier__criterion=gini, ExtraTreesClassifier__max_features=0.9000000000000001, ExtraTreesClassifier__min_samples_leaf=20, ExtraTreesClassifier__min_samples_split=9, ExtraTreesClassifier__n_estimators=100)",0,0,0,"('ROOT',)",2,0.9812866860587688
"RandomForestClassifier(input_matrix, RandomForestClassifier__bootstrap=True, RandomForestClassifier__criterion=gini, RandomForestClassifier__max_features=0.7000000000000001, RandomForestClassifier__min_samples_leaf=3, RandomForestClassifier__min_samples_split=5, RandomForestClassifier__n_estimators=100)",0,0,0,"('ROOT',)",1,0.9916870141400127
"GaussianNB(VarianceThreshold(input_matrix, VarianceThreshold__threshold=0.2))",0,0,0,"('ROOT',)",2,0.7376417875993772
"BernoulliNB(PCA(input_matrix, PCA__iterated_power=5, PCA__svd_solver=randomized), BernoulliNB__alpha=0.01, BernoulliNB__fit_prior=False)",0,0,0,"('ROOT',)",2,0.8829720887947758
"DecisionTreeClassifier(SelectFromModel(input_matrix, SelectFromModel__ExtraTreesClassifier__criterion=entropy, SelectFromModel__ExtraTreesClassifier__max_features=0.8500000000000001, SelectFromModel__ExtraTreesClassifier__n_estimators=100, SelectFromModel__threshold=0.4), DecisionTreeClassifier__criterion=gini, DecisionTreeClassifier__max_depth=5, DecisionTreeClassifier__min_samples_leaf=9, DecisionTreeClassifier__min_samples_split=17)",0,0,0,"('ROOT',)",2,0.9869227593106139
