rank,ensemble_weight,type,cost,duration
1,0.36,random_forest,0.004687602999089324,3.292766571044922
2,0.28,adaboost,0.004687602999089324,9.147662162780762
3,0.04,gradient_boosting,0.004687602999089324,2.284924268722534
4,0.04,random_forest,0.006250244150162176,4.9125635623931885
5,0.08,lda,0.00781297686626381,1.026531457901001
6,0.04,liblinear_svc,0.00781297686626381,1.327718734741211
7,0.04,liblinear_svc,0.009375824047035408,1.6242687702178955
8,0.04,qda,0.009375824047035408,3.099027156829834
9,0.04,lda,0.010938808597708238,1.907407522201538
10,0.04,libsvm_svc,0.012500122071504416,2.5166573524475098
