Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,macro_f1_metric,Time Taken
AdaBoostClassifier,0.99,0.99,,0.9899994374683575,0.9899994374683576,0.6456258296966553
RandomForestClassifier,0.99,0.99,,0.9899994374683575,0.9899994374683576,0.5357570648193359
RidgeClassifier,0.98875,0.98875,,0.988748575991649,0.988748575991649,0.034223079681396484
LogisticRegression,0.98875,0.98875,,0.988748575991649,0.988748575991649,0.046979427337646484
ExtraTreesClassifier,0.98875,0.98875,,0.9887491386059244,0.9887491386059245,0.26011180877685547
SGDClassifier,0.98875,0.98875,,0.988748575991649,0.988748575991649,0.032172441482543945
LinearDiscriminantAnalysis,0.98875,0.98875,,0.988748575991649,0.988748575991649,0.037627458572387695
KNeighborsClassifier,0.98625,0.9862500000000001,,0.9862473998990435,0.9862473998990434,0.08491659164428711
DecisionTreeClassifier,0.98375,0.98375,,0.9837499746093354,0.9837499746093353,0.06118512153625488
GaussianNB,0.96875,0.96875,,0.968746044421247,0.968746044421247,0.028406143188476562
