y_real,y_pred,score_malicious
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,0.86
Malicious,Malicious,1.0
Malicious,Benign,0.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,0.99
Malicious,Malicious,0.55
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,0.99
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Benign,0.07
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,0.94
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,0.99
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,0.97
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Benign,0.01
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Benign,0.19
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,0.93
Malicious,Malicious,0.91
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,0.98
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,0.64
Malicious,Malicious,0.98
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,0.98
Malicious,Malicious,1.0
Malicious,Malicious,0.99
Malicious,Malicious,1.0
Malicious,Malicious,0.88
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,0.99
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Benign,0.27
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,0.98
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,0.92
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,0.99
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
