Framework,Status,Duração (s),Erro,Accuracy,Balanced Accuracy,Precision Macro,Recall Macro,Macro-F1,Weighted-F1,MCC,Precision Malicious,Recall Malicious,F1 Malicious,ROC-AUC,Average Precision
sklearn,success,30.47119450569153,,0.99,0.99,0.9901102748118328,0.99,0.9899994374683576,0.9899994374683576,0.9801102686081764,0.9974619289340102,0.9825,0.9899244332493704,0.995440625,0.9967388111636916
lazypredict,success,5.862237453460693,,0.99,0.99,0.9901102748118328,0.99,0.9899994374683576,0.9899994374683576,0.9801102686081764,0.9974619289340102,0.9825,0.9899244332493704,0.993715625,0.99608035906968
pycaret,success,19.081830263137817,,0.99,0.99,0.9901102748118328,0.99,0.9899994374683576,0.9899994374683576,0.9801102686081764,0.9974619289340102,0.9825,0.9899244332493704,0.995478125,0.9964733948180768
h2o,success,157.64226150512695,,0.99,0.99,0.9901960784313726,0.99,0.98999899989999,0.98999899989999,0.9801960588196068,1.0,0.98,0.98989898989899,0.996575,0.9974329235022712
tpot,success,108.16076254844666,,0.99,0.99,0.9901960784313726,0.99,0.98999899989999,0.98999899989999,0.9801960588196068,1.0,0.98,0.98989898989899,0.99690625,0.9976442064035322
autogluon,success,112.61181926727295,,0.99,0.99,0.9901960784313726,0.99,0.98999899989999,0.98999899989999,0.9801960588196068,1.0,0.98,0.98989898989899,0.99661875,0.9975653114180628
autosklearn,success,609.1052680015564,,0.98875,0.98875,0.9888997255409469,0.98875,0.9887491386059246,0.9887491386059246,0.9776497140758296,0.9974554707379136,0.98,0.9886506935687264,0.995425,0.9967596919284434
flaml,success,602.7421548366547,,0.9875,0.9875,0.9875487548754877,0.9875,0.9874996874921872,0.9874996874921874,0.9750487536565546,0.9924242424242424,0.9825,0.9874371859296482,0.99435,0.9964378815038022
autopytorch,success,684.913703918457,,0.9825,0.9825,0.9826085869320598,0.9825,0.9824990155696258,0.9824990155696258,0.9651085808233576,0.9898477157360406,0.975,0.982367758186398,0.99508125,0.9969006865480902
autokeras,success,95.06186723709106,,0.9775,0.9775,0.9777986241400876,0.9775,0.9774964838255976,0.9774964838255976,0.9552985774654787,0.9897435897435898,0.965,0.9772151898734176,0.98609375,0.9876779176941496
