y_real,y_pred,score_malicious
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,0.886
Malicious,Malicious,1.0
Malicious,Benign,0.002
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,0.998
Malicious,Malicious,0.576
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,0.992
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Benign,0.058
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,0.976
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,0.984
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,0.95
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,0.996
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Benign,0.006
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,0.998
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,0.998
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Benign,0.186
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,0.912
Malicious,Malicious,0.946
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,0.998
Malicious,Malicious,0.998
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,0.976
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,0.654
Malicious,Malicious,0.97
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,0.98
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,0.856
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,0.992
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Benign,0.182
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,0.93
Malicious,Malicious,0.998
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,0.996
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
Malicious,Malicious,1.0
