,precision,recall,f1-score,support
Backdoor_Malware,0.29177057356608477,0.2925,0.29213483146067415,400.0
BenignTraffic,0.35067114093959734,0.5225,0.41967871485943775,400.0
BrowserHijacking,0.5864022662889519,0.5175,0.549800796812749,400.0
CommandInjection,0.49361702127659574,0.29,0.3653543307086614,400.0
DDoS-ACK_Fragmentation,0.989821882951654,0.9725,0.9810844892812106,400.0
DDoS-HTTP_Flood,0.8898071625344353,0.8075,0.8466579292267365,400.0
DDoS-ICMP_Flood,1.0,1.0,1.0,400.0
DDoS-ICMP_Fragmentation,0.9974874371859297,0.9925,0.9949874686716792,400.0
DDoS-PSHACK_Flood,1.0,0.9975,0.9987484355444305,400.0
DDoS-RSTFINFlood,0.9975062344139651,1.0,0.9987515605493134,400.0
DDoS-SYN_Flood,0.5365239294710328,0.5325,0.534504391468005,400.0
DDoS-SlowLoris,0.9334916864608076,0.9825,0.9573690621193667,400.0
DDoS-SynonymousIP_Flood,0.5728744939271255,0.7075,0.6331096196868009,400.0
DDoS-TCP_Flood,0.7445887445887446,0.86,0.7981438515081206,400.0
DDoS-UDP_Flood,0.7071428571428572,0.7425,0.724390243902439,400.0
DDoS-UDP_Fragmentation,0.9949622166246851,0.9875,0.9912170639899623,400.0
DictionaryBruteForce,0.5248618784530387,0.475,0.49868766404199477,400.0
DNS_Spoofing,0.7721179624664879,0.72,0.7451487710219923,400.0
DoS-HTTP_Flood,0.8356481481481481,0.9025,0.8677884615384616,400.0
DoS-SYN_Flood,0.8774193548387097,0.68,0.7661971830985915,400.0
DoS-TCP_Flood,0.834319526627219,0.705,0.7642276422764228,400.0
DoS-UDP_Flood,0.7263157894736842,0.69,0.7076923076923077,400.0
MITM-ArpSpoofing,0.6987012987012987,0.6725,0.6853503184713375,400.0
Mirai-greeth_flood,0.9974683544303797,0.985,0.9911949685534591,400.0
Mirai-greip_flood,0.9974937343358395,0.995,0.9962453066332916,400.0
Mirai-udpplain,0.9925,0.9925,0.9925,400.0
Recon-HostDiscovery,0.5965770171149144,0.61,0.6032138442521632,400.0
Recon-OSScan,0.3282828282828283,0.1625,0.21739130434782608,400.0
Recon-PingSweep,0.37799043062200954,0.395,0.3863080684596577,400.0
Recon-PortScan,0.4944237918215613,0.3325,0.3976083707025411,400.0
SqlInjection,0.30066445182724255,0.4525,0.36127744510978044,400.0
Uploading_Attack,0.3050847457627119,0.216,0.2529274004683841,250.0
VulnerabilityScan,0.28306264501160094,0.305,0.29362214199759323,400.0
XSS,0.21806853582554517,0.35,0.2687140115163148,400.0
accuracy,0.6770260223048327,0.6770260223048327,0.6770260223048327,0.6770260223048327
macro avg,0.6837549453269319,0.6719411764705884,0.6730008235285796,13450.0
weighted avg,0.687978033054414,0.6770260223048327,0.6776856572430056,13450.0
