,Pred_Backdoor_Malware,Pred_BenignTraffic,Pred_BrowserHijacking,Pred_CommandInjection,Pred_DDoS-ACK_Fragmentation,Pred_DDoS-HTTP_Flood,Pred_DDoS-ICMP_Flood,Pred_DDoS-ICMP_Fragmentation,Pred_DDoS-PSHACK_Flood,Pred_DDoS-RSTFINFlood,Pred_DDoS-SYN_Flood,Pred_DDoS-SlowLoris,Pred_DDoS-SynonymousIP_Flood,Pred_DDoS-TCP_Flood,Pred_DDoS-UDP_Flood,Pred_DDoS-UDP_Fragmentation,Pred_DictionaryBruteForce,Pred_DNS_Spoofing,Pred_DoS-HTTP_Flood,Pred_DoS-SYN_Flood,Pred_DoS-TCP_Flood,Pred_DoS-UDP_Flood,Pred_MITM-ArpSpoofing,Pred_Mirai-greeth_flood,Pred_Mirai-greip_flood,Pred_Mirai-udpplain,Pred_Recon-HostDiscovery,Pred_Recon-OSScan,Pred_Recon-PingSweep,Pred_Recon-PortScan,Pred_SqlInjection,Pred_Uploading_Attack,Pred_VulnerabilityScan,Pred_XSS
Real_Backdoor_Malware,117,19,12,17,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,5,0,0,0,18,5,12,0,31,21,22,114
Real_BenignTraffic,11,209,11,6,0,0,0,0,0,0,0,0,0,0,0,0,18,4,0,0,0,0,7,0,0,0,0,23,21,7,33,3,35,12
Real_BrowserHijacking,19,29,207,6,0,0,0,0,0,0,0,0,0,0,0,0,14,3,0,0,0,0,16,0,0,0,14,1,14,5,14,5,19,34
Real_CommandInjection,50,14,10,116,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,2,0,0,0,11,2,17,2,22,29,9,107
Real_DDoS-ACK_Fragmentation,0,0,0,0,389,0,0,0,0,0,0,9,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Real_DDoS-HTTP_Flood,0,0,0,0,1,323,0,0,0,1,0,6,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Real_DDoS-ICMP_Flood,0,0,0,0,0,0,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Real_DDoS-ICMP_Fragmentation,0,0,0,0,0,0,0,397,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Real_DDoS-PSHACK_Flood,0,0,0,0,0,0,0,0,399,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Real_DDoS-RSTFINFlood,0,0,0,0,0,0,0,0,0,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Real_DDoS-SYN_Flood,0,0,0,0,0,0,0,0,0,0,213,0,150,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Real_DDoS-SlowLoris,0,0,0,0,1,2,0,0,0,0,0,393,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Real_DDoS-SynonymousIP_Flood,0,0,0,0,0,0,0,0,0,0,117,0,283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Real_DDoS-TCP_Flood,0,0,0,0,0,1,0,0,0,0,0,0,0,344,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0
Real_DDoS-UDP_Flood,0,0,0,0,0,0,0,0,0,0,0,0,0,0,297,0,0,0,0,0,0,103,0,0,0,0,0,0,0,0,0,0,0,0
Real_DDoS-UDP_Fragmentation,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Real_DictionaryBruteForce,18,35,16,10,0,0,0,0,0,0,0,0,0,0,0,0,190,1,0,0,0,0,2,0,0,0,20,7,34,5,5,7,18,32
Real_DNS_Spoofing,6,12,5,3,0,0,0,0,0,0,0,0,0,0,0,0,1,288,0,0,0,0,61,0,0,0,1,2,3,0,2,2,5,9
Real_DoS-HTTP_Flood,0,0,0,0,0,37,0,0,0,0,0,1,0,0,0,0,0,0,361,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Real_DoS-SYN_Flood,0,0,0,0,0,0,0,0,0,0,67,0,61,0,0,0,0,0,0,272,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Real_DoS-TCP_Flood,0,0,0,0,0,0,0,0,0,0,0,0,0,118,0,0,0,0,0,0,282,0,0,0,0,0,0,0,0,0,0,0,0,0
Real_DoS-UDP_Flood,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,0,0,0,0,0,0,276,0,0,0,1,0,0,0,0,0,0,0,0
Real_MITM-ArpSpoofing,7,13,9,6,0,0,0,0,0,0,0,0,0,0,0,0,2,66,0,0,0,0,269,0,0,0,2,1,11,0,1,7,1,5
Real_Mirai-greeth_flood,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,394,1,1,0,0,0,0,0,0,0,0
Real_Mirai-greip_flood,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,398,0,0,0,0,0,0,0,0,0
Real_Mirai-udpplain,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,397,0,0,0,0,0,0,0,0
