,precision,recall,f1-score,support
Backdoor_Malware,0.375,0.0225,0.04245283018867924,400.0
BenignTraffic,0.0,0.0,0.0,400.0
BrowserHijacking,0.05380710659898477,0.1325,0.07653429602888087,400.0
CommandInjection,0.06406685236768803,0.4025,0.11053896326810848,400.0
DDoS-ACK_Fragmentation,0.5006675567423231,0.9375,0.6527415143603134,400.0
DDoS-HTTP_Flood,0.0,0.0,0.0,400.0
DDoS-ICMP_Flood,0.0,0.0,0.0,400.0
DDoS-ICMP_Fragmentation,0.7966101694915254,0.94,0.8623853211009175,400.0
DDoS-PSHACK_Flood,0.2857142857142857,0.005,0.009828009828009828,400.0
DDoS-RSTFINFlood,0.0,0.0,0.0,400.0
DDoS-SYN_Flood,0.0,0.0,0.0,400.0
DDoS-SlowLoris,0.0,0.0,0.0,400.0
DDoS-SynonymousIP_Flood,0.0,0.0,0.0,400.0
DDoS-TCP_Flood,0.0,0.0,0.0,400.0
DDoS-UDP_Flood,0.0,0.0,0.0,400.0
DDoS-UDP_Fragmentation,0.9546599496221663,0.9475,0.9510664993726474,400.0
DictionaryBruteForce,0.9791666666666666,0.1175,0.20982142857142858,400.0
DNS_Spoofing,0.0683453237410072,0.0475,0.05604719764011799,400.0
DoS-HTTP_Flood,0.0,0.0,0.0,400.0
DoS-SYN_Flood,0.0,0.0,0.0,400.0
DoS-TCP_Flood,0.0,0.0,0.0,400.0
DoS-UDP_Flood,0.0,0.0,0.0,400.0
MITM-ArpSpoofing,0.11764705882352941,0.005,0.009592326139088728,400.0
Mirai-greeth_flood,0.0,0.0,0.0,400.0
Mirai-greip_flood,0.0,0.0,0.0,400.0
Mirai-udpplain,0.0,0.0,0.0,400.0
Recon-HostDiscovery,0.0975609756097561,0.01,0.018140589569160998,400.0
Recon-OSScan,0.0,0.0,0.0,400.0
Recon-PingSweep,0.03396901072705602,0.57,0.06411698537682789,400.0
Recon-PortScan,0.0,0.0,0.0,400.0
SqlInjection,0.0,0.0,0.0,400.0
Uploading_Attack,0.0,0.0,0.0,250.0
VulnerabilityScan,0.0,0.0,0.0,400.0
XSS,0.09476309226932668,0.285,0.14223331253898938,400.0
accuracy,0.13152416356877322,0.13152416356877322,0.13152416356877322,0.13152416356877322
macro avg,0.13005817789336221,0.1300735294117647,0.0942793904112697,13450.0
weighted avg,0.13150864084384578,0.13152416356877322,0.09533083342700878,13450.0
