y_real,y_pred
DNS_Spoofing,CommandInjection
DNS_Spoofing,Recon-PingSweep
DNS_Spoofing,CommandInjection
DNS_Spoofing,CommandInjection
DNS_Spoofing,Recon-PingSweep
DNS_Spoofing,CommandInjection
DNS_Spoofing,XSS
DNS_Spoofing,Recon-PingSweep
DNS_Spoofing,CommandInjection
DNS_Spoofing,Recon-PingSweep
DNS_Spoofing,CommandInjection
DNS_Spoofing,CommandInjection
DNS_Spoofing,DNS_Spoofing
DNS_Spoofing,BrowserHijacking
DNS_Spoofing,CommandInjection
DNS_Spoofing,MITM-ArpSpoofing
DNS_Spoofing,XSS
DNS_Spoofing,CommandInjection
DNS_Spoofing,CommandInjection
DNS_Spoofing,CommandInjection
DNS_Spoofing,BrowserHijacking
DNS_Spoofing,CommandInjection
DNS_Spoofing,CommandInjection
DNS_Spoofing,CommandInjection
DNS_Spoofing,DNS_Spoofing
DNS_Spoofing,DNS_Spoofing
DNS_Spoofing,Recon-PingSweep
DNS_Spoofing,Recon-PingSweep
DNS_Spoofing,XSS
DNS_Spoofing,Recon-PingSweep
DNS_Spoofing,CommandInjection
DNS_Spoofing,Recon-PingSweep
DNS_Spoofing,CommandInjection
DNS_Spoofing,Recon-PingSweep
DNS_Spoofing,XSS
DNS_Spoofing,XSS
DNS_Spoofing,Recon-PingSweep
DNS_Spoofing,Recon-PingSweep
DNS_Spoofing,Recon-PingSweep
DNS_Spoofing,CommandInjection
DNS_Spoofing,CommandInjection
DNS_Spoofing,Recon-PingSweep
DNS_Spoofing,Recon-PingSweep
DNS_Spoofing,Recon-PingSweep
DNS_Spoofing,CommandInjection
DNS_Spoofing,Recon-PingSweep
DNS_Spoofing,XSS
DNS_Spoofing,Recon-PingSweep
DNS_Spoofing,CommandInjection
DNS_Spoofing,Recon-PingSweep
DNS_Spoofing,Recon-PingSweep
DNS_Spoofing,CommandInjection
DNS_Spoofing,Recon-PingSweep
DNS_Spoofing,DNS_Spoofing
DNS_Spoofing,XSS
DNS_Spoofing,CommandInjection
DNS_Spoofing,CommandInjection
DNS_Spoofing,CommandInjection
DNS_Spoofing,Recon-PingSweep
DNS_Spoofing,Recon-PingSweep
DNS_Spoofing,Recon-PingSweep
DNS_Spoofing,XSS
DNS_Spoofing,XSS
DNS_Spoofing,CommandInjection
DNS_Spoofing,Recon-PingSweep
DNS_Spoofing,Recon-PingSweep
DNS_Spoofing,CommandInjection
DNS_Spoofing,CommandInjection
DNS_Spoofing,Recon-PingSweep
DNS_Spoofing,Recon-PingSweep
DNS_Spoofing,BrowserHijacking
DNS_Spoofing,BrowserHijacking
DNS_Spoofing,CommandInjection
DNS_Spoofing,Recon-PingSweep
DNS_Spoofing,Recon-PingSweep
DNS_Spoofing,XSS
DNS_Spoofing,CommandInjection
DNS_Spoofing,CommandInjection
DNS_Spoofing,Recon-PingSweep
DNS_Spoofing,CommandInjection
DNS_Spoofing,Recon-PingSweep
DNS_Spoofing,CommandInjection
DNS_Spoofing,CommandInjection
DNS_Spoofing,CommandInjection
DNS_Spoofing,Recon-PingSweep
DNS_Spoofing,CommandInjection
DNS_Spoofing,XSS
DNS_Spoofing,Recon-PingSweep
DNS_Spoofing,CommandInjection
DNS_Spoofing,BrowserHijacking
DNS_Spoofing,CommandInjection
DNS_Spoofing,CommandInjection
DNS_Spoofing,BrowserHijacking
DNS_Spoofing,Recon-PingSweep
DNS_Spoofing,XSS
DNS_Spoofing,XSS
DNS_Spoofing,XSS
DNS_Spoofing,DNS_Spoofing
DNS_Spoofing,Recon-HostDiscovery
DNS_Spoofing,CommandInjection
DNS_Spoofing,CommandInjection
DNS_Spoofing,CommandInjection
DNS_Spoofing,CommandInjection
DNS_Spoofing,CommandInjection
DNS_Spoofing,Recon-PingSweep
DNS_Spoofing,Recon-PingSweep
DNS_Spoofing,Recon-PingSweep
DNS_Spoofing,CommandInjection
DNS_Spoofing,Recon-PingSweep
DNS_Spoofing,CommandInjection
DNS_Spoofing,Recon-PingSweep
DNS_Spoofing,Recon-PingSweep
DNS_Spoofing,Recon-PingSweep
DNS_Spoofing,CommandInjection
DNS_Spoofing,CommandInjection
DNS_Spoofing,CommandInjection
DNS_Spoofing,CommandInjection
DNS_Spoofing,Recon-PingSweep
DNS_Spoofing,Recon-PingSweep
DNS_Spoofing,XSS
DNS_Spoofing,CommandInjection
DNS_Spoofing,Recon-PingSweep
DNS_Spoofing,CommandInjection
DNS_Spoofing,Recon-PingSweep
DNS_Spoofing,Recon-PingSweep
DNS_Spoofing,Recon-PingSweep
DNS_Spoofing,CommandInjection
DNS_Spoofing,XSS
DNS_Spoofing,Recon-PingSweep
DNS_Spoofing,Recon-PingSweep
DNS_Spoofing,XSS
DNS_Spoofing,CommandInjection
DNS_Spoofing,XSS
DNS_Spoofing,CommandInjection
DNS_Spoofing,CommandInjection
DNS_Spoofing,Recon-PingSweep
DNS_Spoofing,CommandInjection
DNS_Spoofing,Recon-PingSweep
DNS_Spoofing,CommandInjection
DNS_Spoofing,CommandInjection
DNS_Spoofing,Recon-PingSweep
DNS_Spoofing,CommandInjection
DNS_Spoofing,Recon-PingSweep
DNS_Spoofing,CommandInjection
DNS_Spoofing,Recon-PingSweep
DNS_Spoofing,CommandInjection
DNS_Spoofing,CommandInjection
DNS_Spoofing,CommandInjection
DNS_Spoofing,Recon-PingSweep
DNS_Spoofing,Recon-PingSweep
DNS_Spoofing,CommandInjection
DNS_Spoofing,DNS_Spoofing
DNS_Spoofing,CommandInjection
DNS_Spoofing,CommandInjection
DNS_Spoofing,XSS
DNS_Spoofing,Recon-PingSweep
DNS_Spoofing,CommandInjection
DNS_Spoofing,XSS
DNS_Spoofing,Recon-PingSweep
DNS_Spoofing,CommandInjection
DNS_Spoofing,BrowserHijacking
DNS_Spoofing,CommandInjection
DNS_Spoofing,XSS
DNS_Spoofing,XSS
DNS_Spoofing,CommandInjection
DNS_Spoofing,CommandInjection
DNS_Spoofing,Recon-HostDiscovery
DNS_Spoofing,XSS
DNS_Spoofing,CommandInjection
DNS_Spoofing,CommandInjection
DNS_Spoofing,CommandInjection
DNS_Spoofing,CommandInjection
DNS_Spoofing,Recon-PingSweep
DNS_Spoofing,CommandInjection
DNS_Spoofing,CommandInjection
DNS_Spoofing,XSS
DNS_Spoofing,CommandInjection
DNS_Spoofing,DNS_Spoofing
