,Pred_Backdoor_Malware,Pred_BenignTraffic,Pred_BrowserHijacking,Pred_CommandInjection,Pred_DDoS-ACK_Fragmentation,Pred_DDoS-HTTP_Flood,Pred_DDoS-ICMP_Flood,Pred_DDoS-ICMP_Fragmentation,Pred_DDoS-PSHACK_Flood,Pred_DDoS-RSTFINFlood,Pred_DDoS-SYN_Flood,Pred_DDoS-SlowLoris,Pred_DDoS-SynonymousIP_Flood,Pred_DDoS-TCP_Flood,Pred_DDoS-UDP_Flood,Pred_DDoS-UDP_Fragmentation,Pred_DictionaryBruteForce,Pred_DNS_Spoofing,Pred_DoS-HTTP_Flood,Pred_DoS-SYN_Flood,Pred_DoS-TCP_Flood,Pred_DoS-UDP_Flood,Pred_MITM-ArpSpoofing,Pred_Mirai-greeth_flood,Pred_Mirai-greip_flood,Pred_Mirai-udpplain,Pred_Recon-HostDiscovery,Pred_Recon-OSScan,Pred_Recon-PingSweep,Pred_Recon-PortScan,Pred_SqlInjection,Pred_Uploading_Attack,Pred_VulnerabilityScan,Pred_XSS
Real_Backdoor_Malware,9,0,6,160,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,4,0,109,0,0,0,0,102
Real_BenignTraffic,0,0,14,177,30,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,2,1,123,0,0,0,0,43
Real_BrowserHijacking,0,0,53,159,14,0,0,13,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,3,0,90,0,0,0,0,56
Real_CommandInjection,0,0,53,161,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,5,0,98,0,0,0,0,77
Real_DDoS-ACK_Fragmentation,0,0,0,6,375,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0
Real_DDoS-HTTP_Flood,0,0,0,2,25,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,368,0,0,0,0,2
Real_DDoS-ICMP_Flood,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,371,0,0,0,0,19
Real_DDoS-ICMP_Fragmentation,0,0,0,3,17,0,0,376,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Real_DDoS-PSHACK_Flood,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,380,0,0,0,0,12
Real_DDoS-RSTFINFlood,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,383,0,0,0,0,0
Real_DDoS-SYN_Flood,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,391,0,0,0,0,2
Real_DDoS-SlowLoris,2,0,0,35,38,0,0,30,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,277,0,0,0,0,15
Real_DDoS-SynonymousIP_Flood,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,381,0,0,0,0,2
Real_DDoS-TCP_Flood,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,376,0,0,0,0,11
Real_DDoS-UDP_Flood,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,376,0,0,0,0,6
Real_DDoS-UDP_Fragmentation,0,0,0,8,7,0,0,3,0,0,0,0,0,0,0,379,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
Real_DictionaryBruteForce,0,0,13,90,11,0,0,2,0,0,0,0,0,0,1,0,47,3,0,0,0,0,1,0,0,0,7,0,141,0,1,0,0,83
Real_DNS_Spoofing,1,0,17,185,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,2,0,0,0,2,0,121,0,0,0,0,53
Real_DoS-HTTP_Flood,0,0,0,2,173,0,0,13,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,211,0,0,0,0,0
Real_DoS-SYN_Flood,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,393,0,0,0,0,3
Real_DoS-TCP_Flood,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,358,0,0,0,0,20
Real_DoS-UDP_Flood,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,395,0,0,0,0,0
Real_MITM-ArpSpoofing,0,0,17,236,3,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,2,0,0,0,0,0,68,0,0,0,0,31
Real_Mirai-greeth_flood,0,0,387,0,7,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Real_Mirai-greip_flood,0,0,386,1,1,0,0,1,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Real_Mirai-udpplain,1,0,0,396,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Real_Recon-HostDiscovery,6,0,0,109,2,0,0,3,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,4,0,132,0,0,0,0,135
Real_Recon-OSScan,1,0,12,121,12,0,0,4,0,0,0,0,0,0,0,0,0,22,0,0,0,0,3,0,0,0,2,0,169,0,0,0,0,54
Real_Recon-PingSweep,0,0,5,98,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,228,0,0,0,0,62
Real_Recon-PortScan,2,0,6,72,7,0,0,3,0,0,0,0,0,0,0,0,0,39,0,0,0,0,1,0,0,0,1,0,213,0,0,0,0,56
Real_SqlInjection,0,0,3,94,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,220,0,0,0,0,78
Real_Uploading_Attack,0,0,1,100,5,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,62,0,0,0,0,77
Real_VulnerabilityScan,1,0,2,117,6,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,177,0,0,0,0,87
Real_XSS,0,1,10,179,4,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,3,0,84,0,0,0,0,114
