,precision,recall,f1-score,support
Backdoor_Malware,0.14285714285714285,0.175,0.15730337078651685,400.0
BenignTraffic,0.24319066147859922,0.3125,0.2735229759299781,400.0
BrowserHijacking,0.3191489361702128,0.2625,0.28806584362139914,400.0
CommandInjection,0.7142857142857143,0.1625,0.26476578411405294,400.0
DDoS-ACK_Fragmentation,0.9922879177377892,0.965,0.9784537389100126,400.0
DDoS-HTTP_Flood,0.786096256684492,0.735,0.7596899224806202,400.0
DDoS-ICMP_Flood,1.0,1.0,1.0,400.0
DDoS-ICMP_Fragmentation,0.9949874686716792,0.9925,0.9937421777221527,400.0
DDoS-PSHACK_Flood,0.9975,0.9975,0.9975,400.0
DDoS-RSTFINFlood,1.0,1.0,1.0,400.0
DDoS-SYN_Flood,0.49814126394052044,0.67,0.5714285714285715,400.0
DDoS-SlowLoris,0.8412322274881516,0.8875,0.8637469586374695,400.0
DDoS-SynonymousIP_Flood,0.622107969151671,0.605,0.6134347275031685,400.0
DDoS-TCP_Flood,0.6789883268482491,0.8725,0.7636761487964989,400.0
DDoS-UDP_Flood,0.8087649402390438,0.5075,0.6236559139784945,400.0
DDoS-UDP_Fragmentation,0.9825,0.9825,0.9825,400.0
DictionaryBruteForce,0.4396887159533074,0.2825,0.3439878234398782,400.0
DNS_Spoofing,0.3879093198992443,0.385,0.3864491844416562,400.0
DoS-HTTP_Flood,0.8019559902200489,0.82,0.8108776266996292,400.0
DoS-SYN_Flood,0.8372881355932204,0.6175,0.7107913669064749,400.0
DoS-TCP_Flood,0.8175438596491228,0.5825,0.6802919708029198,400.0
DoS-UDP_Flood,0.6347197106690777,0.8775,0.7366211962224554,400.0
MITM-ArpSpoofing,0.36900958466453676,0.5775,0.45029239766081874,400.0
Mirai-greeth_flood,0.7109375,0.455,0.5548780487804877,400.0
Mirai-greip_flood,0.609942638623327,0.7975,0.6912242686890574,400.0
Mirai-udpplain,0.9729064039408867,0.9875,0.9801488833746899,400.0
Recon-HostDiscovery,0.5104712041884817,0.4875,0.4987212276214834,400.0
Recon-OSScan,0.12437810945273632,0.0625,0.0831946755407654,400.0
Recon-PingSweep,0.224609375,0.2875,0.25219298245614036,400.0
Recon-PortScan,0.42424242424242425,0.245,0.3106180665610143,400.0
SqlInjection,0.22998544395924309,0.395,0.2907083716651334,400.0
Uploading_Attack,0.13451086956521738,0.396,0.20081135902636912,250.0
VulnerabilityScan,0.18947368421052632,0.09,0.12203389830508474,400.0
XSS,0.1323529411764706,0.0675,0.08940397350993377,400.0
accuracy,0.576728624535316,0.576728624535316,0.576728624535316,0.576728624535316
macro avg,0.5933533746047394,0.574735294117647,0.5683745134003801,13450.0
weighted avg,0.5984705772631727,0.576728624535316,0.5724737307354064,13450.0
