y_real,y_pred
DNS_Spoofing,XSS
DNS_Spoofing,VulnerabilityScan
DNS_Spoofing,MITM-ArpSpoofing
DNS_Spoofing,BenignTraffic
DNS_Spoofing,DNS_Spoofing
DNS_Spoofing,DNS_Spoofing
DNS_Spoofing,Uploading_Attack
DNS_Spoofing,DNS_Spoofing
DNS_Spoofing,DNS_Spoofing
DNS_Spoofing,Backdoor_Malware
DNS_Spoofing,Backdoor_Malware
DNS_Spoofing,DNS_Spoofing
DNS_Spoofing,DNS_Spoofing
DNS_Spoofing,MITM-ArpSpoofing
DNS_Spoofing,DNS_Spoofing
DNS_Spoofing,DictionaryBruteForce
DNS_Spoofing,SqlInjection
DNS_Spoofing,Recon-OSScan
DNS_Spoofing,Uploading_Attack
DNS_Spoofing,BrowserHijacking
DNS_Spoofing,SqlInjection
DNS_Spoofing,Recon-PingSweep
DNS_Spoofing,CommandInjection
DNS_Spoofing,Uploading_Attack
DNS_Spoofing,DNS_Spoofing
DNS_Spoofing,MITM-ArpSpoofing
DNS_Spoofing,BenignTraffic
DNS_Spoofing,DNS_Spoofing
DNS_Spoofing,Backdoor_Malware
DNS_Spoofing,DNS_Spoofing
DNS_Spoofing,DNS_Spoofing
DNS_Spoofing,DNS_Spoofing
DNS_Spoofing,DNS_Spoofing
DNS_Spoofing,DNS_Spoofing
DNS_Spoofing,Recon-HostDiscovery
DNS_Spoofing,Recon-OSScan
DNS_Spoofing,DNS_Spoofing
DNS_Spoofing,DictionaryBruteForce
DNS_Spoofing,DNS_Spoofing
DNS_Spoofing,MITM-ArpSpoofing
DNS_Spoofing,BrowserHijacking
DNS_Spoofing,DNS_Spoofing
DNS_Spoofing,DictionaryBruteForce
DNS_Spoofing,Recon-OSScan
DNS_Spoofing,MITM-ArpSpoofing
DNS_Spoofing,SqlInjection
DNS_Spoofing,DNS_Spoofing
DNS_Spoofing,DNS_Spoofing
DNS_Spoofing,XSS
DNS_Spoofing,DNS_Spoofing
DNS_Spoofing,DNS_Spoofing
DNS_Spoofing,BenignTraffic
DNS_Spoofing,DNS_Spoofing
DNS_Spoofing,DNS_Spoofing
DNS_Spoofing,Recon-HostDiscovery
DNS_Spoofing,Uploading_Attack
DNS_Spoofing,Backdoor_Malware
DNS_Spoofing,BenignTraffic
DNS_Spoofing,DDoS-SlowLoris
DNS_Spoofing,DNS_Spoofing
DNS_Spoofing,DNS_Spoofing
DNS_Spoofing,Uploading_Attack
DNS_Spoofing,Recon-PingSweep
DNS_Spoofing,BenignTraffic
DNS_Spoofing,DNS_Spoofing
DNS_Spoofing,DNS_Spoofing
DNS_Spoofing,MITM-ArpSpoofing
DNS_Spoofing,DNS_Spoofing
DNS_Spoofing,SqlInjection
DNS_Spoofing,DNS_Spoofing
DNS_Spoofing,CommandInjection
DNS_Spoofing,MITM-ArpSpoofing
DNS_Spoofing,CommandInjection
