,Pred_Backdoor_Malware,Pred_BenignTraffic,Pred_BrowserHijacking,Pred_CommandInjection,Pred_DDoS-ACK_Fragmentation,Pred_DDoS-HTTP_Flood,Pred_DDoS-ICMP_Flood,Pred_DDoS-ICMP_Fragmentation,Pred_DDoS-PSHACK_Flood,Pred_DDoS-RSTFINFlood,Pred_DDoS-SYN_Flood,Pred_DDoS-SlowLoris,Pred_DDoS-SynonymousIP_Flood,Pred_DDoS-TCP_Flood,Pred_DDoS-UDP_Flood,Pred_DDoS-UDP_Fragmentation,Pred_DictionaryBruteForce,Pred_DNS_Spoofing,Pred_DoS-HTTP_Flood,Pred_DoS-SYN_Flood,Pred_DoS-TCP_Flood,Pred_DoS-UDP_Flood,Pred_MITM-ArpSpoofing,Pred_Mirai-greeth_flood,Pred_Mirai-greip_flood,Pred_Mirai-udpplain,Pred_Recon-HostDiscovery,Pred_Recon-OSScan,Pred_Recon-PingSweep,Pred_Recon-PortScan,Pred_SqlInjection,Pred_Uploading_Attack,Pred_VulnerabilityScan,Pred_XSS
Real_Backdoor_Malware,70,32,13,0,0,0,0,0,0,0,0,4,0,0,0,0,6,27,0,0,0,0,34,0,0,1,5,11,27,1,38,94,15,22
Real_BenignTraffic,26,125,19,0,0,0,0,0,0,0,0,0,0,0,0,0,23,21,0,0,0,0,47,0,0,0,1,16,31,2,49,19,14,7
Real_BrowserHijacking,37,56,105,0,0,0,0,0,0,0,0,0,0,0,0,0,11,18,0,0,0,0,38,0,0,0,4,9,38,4,16,37,12,15
Real_CommandInjection,47,35,6,65,0,0,0,0,0,0,0,3,0,0,0,0,6,11,0,0,0,0,27,0,0,0,1,4,38,1,25,103,10,18
Real_DDoS-ACK_Fragmentation,0,0,0,0,386,0,0,0,0,0,0,9,0,0,0,1,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Real_DDoS-HTTP_Flood,0,0,0,0,1,294,0,0,1,0,1,15,0,0,0,0,0,1,73,10,2,2,0,0,0,0,0,0,0,0,0,0,0,0
Real_DDoS-ICMP_Flood,0,0,0,0,0,0,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Real_DDoS-ICMP_Fragmentation,0,0,0,0,0,0,0,397,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
Real_DDoS-PSHACK_Flood,0,0,0,0,0,0,0,0,399,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Real_DDoS-RSTFINFlood,0,0,0,0,0,0,0,0,0,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Real_DDoS-SYN_Flood,0,0,0,0,0,0,0,0,0,0,268,0,104,0,0,0,0,0,0,27,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Real_DDoS-SlowLoris,0,0,0,0,1,26,0,0,0,0,0,355,0,0,0,2,0,1,8,0,0,0,0,1,0,1,0,0,0,2,1,2,0,0
Real_DDoS-SynonymousIP_Flood,0,0,0,0,0,0,0,0,0,0,157,0,242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Real_DDoS-TCP_Flood,0,0,0,0,0,0,0,0,0,0,0,1,0,349,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0
Real_DDoS-UDP_Flood,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203,0,0,0,0,0,0,197,0,0,0,0,0,0,0,0,0,0,0,0
Real_DDoS-UDP_Fragmentation,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,393,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0
Real_DictionaryBruteForce,43,38,25,2,0,0,0,0,0,0,1,0,0,0,0,0,113,17,0,0,0,0,13,0,0,0,14,14,36,10,10,34,11,19
Real_DNS_Spoofing,22,17,20,17,0,0,0,1,0,0,0,4,0,0,0,0,10,154,0,0,0,1,61,0,0,0,7,7,15,0,17,22,12,13
Real_DoS-HTTP_Flood,0,0,0,0,0,52,0,0,0,0,1,8,0,0,0,0,0,1,328,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Real_DoS-SYN_Flood,0,0,0,0,0,0,0,0,0,0,110,0,43,0,0,0,0,0,0,247,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Real_DoS-TCP_Flood,0,0,0,0,0,2,0,0,0,0,0,0,0,165,0,0,0,0,0,0,233,0,0,0,0,0,0,0,0,0,0,0,0,0
Real_DoS-UDP_Flood,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,1,0,0,0,0,0,351,0,0,0,0,0,0,0,0,0,0,0,0
Real_MITM-ArpSpoofing,12,17,20,0,0,0,0,0,0,0,0,0,0,0,0,0,9,46,0,0,0,0,231,0,0,1,1,5,17,0,6,26,4,5
Real_Mirai-greeth_flood,0,0,0,0,0,0,0,1,0,0,0,10,0,0,0,1,0,1,0,0,0,0,0,182,204,1,0,0,0,0,0,0,0,0
Real_Mirai-greip_flood,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,73,319,5,0,0,0,0,0,0,0,0
Real_Mirai-udpplain,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,395,1,0,1,0,0,0,0,0
Real_Recon-HostDiscovery,32,20,10,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,0,0,0,0,11,0,0,0,195,6,19,22,14,32,2,26
Real_Recon-OSScan,18,40,20,0,0,0,0,0,0,0,0,0,0,0,0,0,11,8,0,0,0,0,40,0,0,0,43,25,29,74,54,13,12,13
Real_Recon-PingSweep,23,30,19,1,0,0,0,0,0,0,0,0,0,0,0,0,19,7,0,0,0,0,31,0,0,0,8,19,115,7,71,29,18,3
Real_Recon-PortScan,15,19,12,0,0,0,0,0,0,0,0,0,0,0,0,0,14,10,0,0,0,0,11,0,0,0,70,26,31,98,60,16,12,6
Real_SqlInjection,23,23,14,0,0,0,0,0,0,0,0,1,0,0,0,0,11,15,0,0,0,0,6,0,0,0,5,18,38,1,158,54,18,15
Real_Uploading_Attack,33,17,7,2,0,0,0,0,0,0,0,2,0,0,0,0,3,10,0,0,0,0,26,0,0,0,2,4,17,1,17,99,1,9
Real_VulnerabilityScan,37,18,24,3,0,0,0,0,0,0,0,0,0,0,0,0,9,22,0,0,0,0,10,0,0,0,17,21,34,6,122,35,36,6
Real_XSS,52,27,15,1,0,0,0,0,0,0,0,3,0,0,0,0,7,17,0,0,0,0,40,0,0,0,7,16,26,1,28,121,12,27
