,precision,recall,f1-score,support
Backdoor_Malware,0.2561247216035635,0.2875,0.270906949352179,400.0
BenignTraffic,0.3468085106382979,0.4075,0.37471264367816093,400.0
BrowserHijacking,0.5092348284960422,0.4825,0.49550706033376124,400.0
CommandInjection,0.40468227424749165,0.3025,0.34620886981402005,400.0
DDoS-ACK_Fragmentation,0.9848484848484849,0.975,0.9798994974874371,400.0
DDoS-HTTP_Flood,0.8916666666666667,0.8025,0.8447368421052631,400.0
DDoS-ICMP_Flood,0.9975062344139651,1.0,0.9987515605493134,400.0
DDoS-ICMP_Fragmentation,0.9974874371859297,0.9925,0.9949874686716792,400.0
DDoS-PSHACK_Flood,1.0,0.9975,0.9987484355444306,400.0
DDoS-RSTFINFlood,0.9950248756218906,1.0,0.9975062344139651,400.0
DDoS-SYN_Flood,0.5176151761517616,0.4775,0.4967490247074122,400.0
DDoS-SlowLoris,0.92,0.9775,0.947878787878788,400.0
DDoS-SynonymousIP_Flood,0.5849462365591398,0.68,0.6289017341040463,400.0
DDoS-TCP_Flood,0.7096018735362998,0.7575,0.7327690447400241,400.0
DDoS-UDP_Flood,0.6947115384615384,0.7225,0.7083333333333334,400.0
DDoS-UDP_Fragmentation,0.9974747474747475,0.9875,0.992462311557789,400.0
DictionaryBruteForce,0.47435897435897434,0.4625,0.46835443037974683,400.0
DNS_Spoofing,0.7347480106100795,0.6925,0.712998712998713,400.0
DoS-HTTP_Flood,0.8402777777777778,0.9075,0.8725961538461539,400.0
DoS-SYN_Flood,0.7479452054794521,0.6825,0.7137254901960784,400.0
DoS-TCP_Flood,0.739946380697051,0.69,0.7141009055627425,400.0
DoS-UDP_Flood,0.7101827676240209,0.68,0.6947637292464879,400.0
MITM-ArpSpoofing,0.7111716621253406,0.6525,0.6805736636245111,400.0
Mirai-greeth_flood,0.9974424552429667,0.975,0.9860935524652339,400.0
Mirai-greip_flood,0.9875930521091811,0.995,0.991282689912827,400.0
Mirai-udpplain,0.9974874371859297,0.9925,0.9949874686716792,400.0
Recon-HostDiscovery,0.6225352112676056,0.5525,0.5854304635761589,400.0
Recon-OSScan,0.3279742765273312,0.255,0.28691983122362874,400.0
Recon-PingSweep,0.381201044386423,0.365,0.3729246487867177,400.0
Recon-PortScan,0.42528735632183906,0.2775,0.3358547655068079,400.0
SqlInjection,0.2998236331569665,0.425,0.35160289555325747,400.0
Uploading_Attack,0.23414634146341465,0.192,0.210989010989011,250.0
VulnerabilityScan,0.2634989200863931,0.305,0.2827346465816918,400.0
XSS,0.21913043478260869,0.315,0.25846153846153846,400.0
accuracy,0.6600743494423792,0.6600743494423792,0.6600743494423792,0.6600743494423792
macro avg,0.6624260160914464,0.6549117647058823,0.6565721881133701,13450.0
weighted avg,0.6672023693400861,0.6600743494423792,0.6615415172262813,13450.0
