y_real,y_pred
DNS_Spoofing,BrowserHijacking
DNS_Spoofing,DNS_Spoofing
DNS_Spoofing,DNS_Spoofing
DNS_Spoofing,XSS
DNS_Spoofing,DNS_Spoofing
DNS_Spoofing,DNS_Spoofing
DNS_Spoofing,DNS_Spoofing
DNS_Spoofing,DNS_Spoofing
DNS_Spoofing,Recon-PingSweep
DNS_Spoofing,MITM-ArpSpoofing
DNS_Spoofing,Backdoor_Malware
DNS_Spoofing,DNS_Spoofing
DNS_Spoofing,DNS_Spoofing
DNS_Spoofing,DNS_Spoofing
DNS_Spoofing,DNS_Spoofing
DNS_Spoofing,Recon-HostDiscovery
DNS_Spoofing,SqlInjection
DNS_Spoofing,DNS_Spoofing
DNS_Spoofing,DNS_Spoofing
DNS_Spoofing,DNS_Spoofing
DNS_Spoofing,DNS_Spoofing
DNS_Spoofing,MITM-ArpSpoofing
DNS_Spoofing,DNS_Spoofing
DNS_Spoofing,BrowserHijacking
DNS_Spoofing,DNS_Spoofing
DNS_Spoofing,MITM-ArpSpoofing
DNS_Spoofing,MITM-ArpSpoofing
DNS_Spoofing,DNS_Spoofing
DNS_Spoofing,Recon-PingSweep
DNS_Spoofing,DNS_Spoofing
DNS_Spoofing,DNS_Spoofing
DNS_Spoofing,DNS_Spoofing
DNS_Spoofing,MITM-ArpSpoofing
DNS_Spoofing,DNS_Spoofing
DNS_Spoofing,BenignTraffic
DNS_Spoofing,DNS_Spoofing
DNS_Spoofing,DNS_Spoofing
DNS_Spoofing,Backdoor_Malware
DNS_Spoofing,DNS_Spoofing
DNS_Spoofing,DNS_Spoofing
DNS_Spoofing,MITM-ArpSpoofing
DNS_Spoofing,DNS_Spoofing
DNS_Spoofing,MITM-ArpSpoofing
DNS_Spoofing,Recon-PingSweep
DNS_Spoofing,DNS_Spoofing
DNS_Spoofing,Uploading_Attack
DNS_Spoofing,DNS_Spoofing
DNS_Spoofing,DNS_Spoofing
DNS_Spoofing,DNS_Spoofing
DNS_Spoofing,DNS_Spoofing
DNS_Spoofing,DNS_Spoofing
DNS_Spoofing,BenignTraffic
DNS_Spoofing,DNS_Spoofing
DNS_Spoofing,DNS_Spoofing
DNS_Spoofing,DNS_Spoofing
DNS_Spoofing,DNS_Spoofing
DNS_Spoofing,XSS
DNS_Spoofing,DNS_Spoofing
DNS_Spoofing,DNS_Spoofing
DNS_Spoofing,DNS_Spoofing
DNS_Spoofing,DNS_Spoofing
DNS_Spoofing,DNS_Spoofing
DNS_Spoofing,MITM-ArpSpoofing
DNS_Spoofing,BenignTraffic
DNS_Spoofing,DNS_Spoofing
DNS_Spoofing,DNS_Spoofing
DNS_Spoofing,MITM-ArpSpoofing
DNS_Spoofing,DNS_Spoofing
DNS_Spoofing,VulnerabilityScan
DNS_Spoofing,DNS_Spoofing
DNS_Spoofing,DNS_Spoofing
DNS_Spoofing,MITM-ArpSpoofing
DNS_Spoofing,DNS_Spoofing
DNS_Spoofing,DNS_Spoofing
DNS_Spoofing,DNS_Spoofing
DNS_Spoofing,DNS_Spoofing
DNS_Spoofing,MITM-ArpSpoofing
DNS_Spoofing,VulnerabilityScan
DNS_Spoofing,MITM-ArpSpoofing
DNS_Spoofing,DNS_Spoofing
DNS_Spoofing,DNS_Spoofing
DNS_Spoofing,DNS_Spoofing
DNS_Spoofing,DNS_Spoofing
DNS_Spoofing,DNS_Spoofing
DNS_Spoofing,DNS_Spoofing
DNS_Spoofing,DNS_Spoofing
DNS_Spoofing,DNS_Spoofing
DNS_Spoofing,DNS_Spoofing
DNS_Spoofing,DNS_Spoofing
DNS_Spoofing,DNS_Spoofing
DNS_Spoofing,DNS_Spoofing
DNS_Spoofing,BenignTraffic
DNS_Spoofing,DNS_Spoofing
DNS_Spoofing,DNS_Spoofing
DNS_Spoofing,Backdoor_Malware
DNS_Spoofing,DNS_Spoofing
DNS_Spoofing,DNS_Spoofing
DNS_Spoofing,BrowserHijacking
DNS_Spoofing,DNS_Spoofing
DNS_Spoofing,DNS_Spoofing
DNS_Spoofing,DNS_Spoofing
DNS_Spoofing,DNS_Spoofing
