,precision,recall,f1-score,support
Backdoor_Malware,0.21975308641975308,0.2225,0.22111801242236026,400.0
BenignTraffic,0.3103448275862069,0.2925,0.30115830115830117,400.0
BrowserHijacking,0.32456140350877194,0.37,0.34579439252336447,400.0
CommandInjection,0.3110539845758355,0.3025,0.30671736375158426,400.0
DDoS-ACK_Fragmentation,0.8881278538812786,0.9725,0.9284009546539379,400.0
DDoS-HTTP_Flood,0.7692307692307693,0.775,0.772104607721046,400.0
DDoS-ICMP_Flood,0.8438177874186551,0.9725,0.9036004645760743,400.0
DDoS-ICMP_Fragmentation,0.871331828442438,0.965,0.9157769869513642,400.0
DDoS-PSHACK_Flood,0.8388520971302428,0.95,0.8909730363423212,400.0
DDoS-RSTFINFlood,0.9948849104859335,0.9725,0.9835651074589128,400.0
DDoS-SYN_Flood,0.40037950664136623,0.5275,0.4552319309600863,400.0
DDoS-SlowLoris,0.9116161616161617,0.9025,0.907035175879397,400.0
DDoS-SynonymousIP_Flood,0.5123152709359606,0.26,0.3449419568822554,400.0
DDoS-TCP_Flood,0.5054545454545455,0.3475,0.41185185185185186,400.0
DDoS-UDP_Flood,0.4810344827586207,0.6975,0.5693877551020409,400.0
DDoS-UDP_Fragmentation,0.8870192307692307,0.9225,0.9044117647058824,400.0
DictionaryBruteForce,0.3954659949622166,0.3925,0.39397741530740277,400.0
DNS_Spoofing,0.5625,0.5625,0.5625,400.0
DoS-HTTP_Flood,0.7741116751269036,0.7625,0.7682619647355163,400.0
DoS-SYN_Flood,0.6396761133603239,0.395,0.4884080370942813,400.0
DoS-TCP_Flood,0.5062240663900415,0.61,0.5532879818594104,400.0
DoS-UDP_Flood,0.6652360515021459,0.3875,0.48973143759873616,400.0
MITM-ArpSpoofing,0.6090651558073654,0.5375,0.5710491367861886,400.0
Mirai-greeth_flood,0.9287531806615776,0.9125,0.9205548549810845,400.0
Mirai-greip_flood,0.9381188118811881,0.9475,0.9427860696517413,400.0
Mirai-udpplain,0.9230769230769231,0.96,0.9411764705882353,400.0
Recon-HostDiscovery,0.5,0.4625,0.4805194805194805,400.0
Recon-OSScan,0.1934156378600823,0.235,0.21218961625282168,400.0
Recon-PingSweep,0.2601010101010101,0.2575,0.25879396984924624,400.0
Recon-PortScan,0.21374045801526717,0.21,0.21185372005044137,400.0
SqlInjection,0.2529274004683841,0.27,0.26118500604594924,400.0
Uploading_Attack,0.16226415094339622,0.172,0.1669902912621359,250.0
VulnerabilityScan,0.19143576826196473,0.19,0.19071518193224593,400.0
XSS,0.16927083333333334,0.1625,0.16581632653061223,400.0
accuracy,0.5595539033457249,0.5595539033457249,0.5595539033457249,0.5595539033457249
macro avg,0.557504734664938,0.555279411764706,0.5512313712937149,13450.0
weighted avg,0.561912622215736,0.5595539033457249,0.5555165877996434,13450.0
