,Pred_Backdoor_Malware,Pred_BenignTraffic,Pred_BrowserHijacking,Pred_CommandInjection,Pred_DDoS-ACK_Fragmentation,Pred_DDoS-HTTP_Flood,Pred_DDoS-ICMP_Flood,Pred_DDoS-ICMP_Fragmentation,Pred_DDoS-PSHACK_Flood,Pred_DDoS-RSTFINFlood,Pred_DDoS-SYN_Flood,Pred_DDoS-SlowLoris,Pred_DDoS-SynonymousIP_Flood,Pred_DDoS-TCP_Flood,Pred_DDoS-UDP_Flood,Pred_DDoS-UDP_Fragmentation,Pred_DictionaryBruteForce,Pred_DNS_Spoofing,Pred_DoS-HTTP_Flood,Pred_DoS-SYN_Flood,Pred_DoS-TCP_Flood,Pred_DoS-UDP_Flood,Pred_MITM-ArpSpoofing,Pred_Mirai-greeth_flood,Pred_Mirai-greip_flood,Pred_Mirai-udpplain,Pred_Recon-HostDiscovery,Pred_Recon-OSScan,Pred_Recon-PingSweep,Pred_Recon-PortScan,Pred_SqlInjection,Pred_Uploading_Attack,Pred_VulnerabilityScan,Pred_XSS
Real_Backdoor_Malware,89,13,25,40,0,0,0,0,0,0,0,0,0,0,0,0,21,13,0,0,0,0,4,0,0,0,23,15,16,13,30,29,19,50
Real_BenignTraffic,16,117,26,12,0,0,0,0,0,0,0,0,0,0,0,0,16,7,0,0,0,0,6,1,0,0,8,60,28,26,18,15,32,12
Real_BrowserHijacking,18,14,148,22,0,0,0,0,0,0,0,0,1,0,0,0,19,6,0,0,0,0,12,0,0,0,16,18,18,15,22,15,31,25
Real_CommandInjection,42,9,34,121,0,0,0,0,0,0,0,0,0,0,0,0,13,9,0,0,0,0,4,0,0,0,8,18,19,12,15,32,12,52
Real_DDoS-ACK_Fragmentation,0,0,0,0,389,0,0,1,0,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Real_DDoS-HTTP_Flood,1,1,0,0,5,310,0,0,0,0,0,6,0,0,0,0,0,1,75,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Real_DDoS-ICMP_Flood,0,0,0,0,0,0,389,0,0,0,0,0,0,0,4,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
Real_DDoS-ICMP_Fragmentation,0,0,0,0,1,0,0,386,0,0,0,2,0,0,0,8,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0
Real_DDoS-PSHACK_Flood,0,0,0,0,4,0,0,0,380,0,0,1,1,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Real_DDoS-RSTFINFlood,0,1,0,0,1,1,0,0,0,389,0,0,0,3,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Real_DDoS-SYN_Flood,0,0,0,0,1,0,9,5,0,0,211,0,62,2,40,3,0,0,0,48,0,2,0,5,0,1,0,1,0,0,0,0,10,0
Real_DDoS-SlowLoris,3,1,1,0,4,8,0,0,0,0,0,361,0,0,0,1,0,4,8,0,4,1,0,1,0,0,0,0,2,0,0,0,0,1
Real_DDoS-SynonymousIP_Flood,0,0,0,0,0,0,24,1,0,0,206,0,104,0,21,1,0,0,0,37,0,0,0,2,1,0,0,0,0,1,0,0,2,0
Real_DDoS-TCP_Flood,0,1,0,0,0,0,25,0,0,0,0,1,0,139,19,2,0,0,0,0,207,2,0,0,2,2,0,0,0,0,0,0,0,0
Real_DDoS-UDP_Flood,0,0,0,0,0,0,1,13,51,0,0,0,0,0,279,1,0,0,0,0,3,48,0,0,0,4,0,0,0,0,0,0,0,0
Real_DDoS-UDP_Fragmentation,0,0,0,0,5,0,0,1,0,0,0,1,0,0,1,369,0,2,0,0,0,15,0,4,1,0,0,0,0,0,0,0,0,1
Real_DictionaryBruteForce,27,17,29,15,0,0,0,0,0,0,0,0,0,0,0,0,157,6,0,0,0,0,2,0,0,0,22,20,23,21,13,10,17,21
Real_DNS_Spoofing,7,7,16,2,0,0,0,0,0,0,0,0,0,0,2,0,7,225,0,0,0,0,86,0,0,0,3,4,3,9,5,2,14,8
Real_DoS-HTTP_Flood,2,1,0,0,1,81,0,0,0,0,0,8,0,0,2,0,0,0,305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Real_DoS-SYN_Flood,0,0,0,0,4,1,4,21,3,0,109,0,35,17,18,2,0,0,5,158,10,6,0,3,0,1,0,0,0,1,0,0,2,0
Real_DoS-TCP_Flood,0,0,0,0,4,1,7,0,0,2,0,0,0,113,7,8,1,0,0,1,244,4,0,1,5,1,0,0,1,0,0,0,0,0
Real_DoS-UDP_Flood,0,0,0,0,0,0,0,11,19,0,0,1,0,0,169,16,0,0,0,0,4,155,0,0,0,21,0,0,1,0,1,1,0,1
Real_MITM-ArpSpoofing,5,7,36,11,0,0,0,0,0,0,0,0,0,0,0,0,3,72,0,0,0,0,215,0,0,0,4,7,10,5,6,6,2,11
Real_Mirai-greeth_flood,0,0,0,0,11,1,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,365,14,1,0,0,0,0,0,1,0,2
Real_Mirai-greip_flood,0,0,0,0,5,0,2,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,9,379,1,0,0,0,0,0,0,0,0
