,precision,recall,f1-score,support
Backdoor_Malware,0.28603603603603606,0.3175,0.3009478672985782,400.0
BenignTraffic,0.33836206896551724,0.3925,0.36342592592592593,400.0
BrowserHijacking,0.4875,0.4875,0.4875,400.0
CommandInjection,0.3772455089820359,0.315,0.34332425068119893,400.0
DDoS-ACK_Fragmentation,0.9898477157360406,0.975,0.982367758186398,400.0
DDoS-HTTP_Flood,0.8903743315508021,0.8325,0.8604651162790697,400.0
DDoS-ICMP_Flood,0.9950248756218906,1.0,0.9975062344139651,400.0
DDoS-ICMP_Fragmentation,1.0,0.9925,0.9962358845671268,400.0
DDoS-PSHACK_Flood,1.0,0.9975,0.9987484355444305,400.0
DDoS-RSTFINFlood,1.0,1.0,1.0,400.0
DDoS-SYN_Flood,0.5125348189415042,0.46,0.48484848484848486,400.0
DDoS-SlowLoris,0.9205607476635514,0.985,0.9516908212560387,400.0
DDoS-SynonymousIP_Flood,0.5867237687366167,0.685,0.6320645905420992,400.0
DDoS-TCP_Flood,0.7155963302752294,0.78,0.7464114832535885,400.0
DDoS-UDP_Flood,0.6973365617433414,0.72,0.7084870848708487,400.0
DDoS-UDP_Fragmentation,0.9924433249370277,0.985,0.9887076537013801,400.0
DictionaryBruteForce,0.4894179894179894,0.4625,0.4755784061696658,400.0
DNS_Spoofing,0.7356948228882834,0.675,0.7040417209908736,400.0
DoS-HTTP_Flood,0.8615751789976134,0.9025,0.8815628815628815,400.0
DoS-SYN_Flood,0.7426273458445041,0.6925,0.7166882276843467,400.0
DoS-TCP_Flood,0.7582417582417582,0.69,0.7225130890052356,400.0
DoS-UDP_Flood,0.7098445595854922,0.685,0.6972010178117048,400.0
MITM-ArpSpoofing,0.7094972067039106,0.635,0.6701846965699209,400.0
Mirai-greeth_flood,0.9974683544303797,0.985,0.9911949685534591,400.0
Mirai-greip_flood,0.9974937343358395,0.995,0.9962453066332916,400.0
Mirai-udpplain,0.9974874371859297,0.9925,0.9949874686716792,400.0
Recon-HostDiscovery,0.5566502463054187,0.565,0.5607940446650124,400.0
Recon-OSScan,0.3079019073569482,0.2825,0.29465449804432853,400.0
Recon-PingSweep,0.37531486146095716,0.3725,0.3739021329987453,400.0
Recon-PortScan,0.3970037453183521,0.265,0.31784107946026985,400.0
SqlInjection,0.2803030303030303,0.37,0.31896551724137934,400.0
Uploading_Attack,0.23214285714285715,0.208,0.21940928270042195,250.0
VulnerabilityScan,0.26588235294117646,0.2825,0.2739393939393939,400.0
XSS,0.24236252545824846,0.2975,0.2671156004489338,400.0
accuracy,0.660371747211896,0.660371747211896,0.660371747211896,0.660371747211896
macro avg,0.6601910589149494,0.6553823529411765,0.6564573801329612,13450.0
weighted avg,0.6649648306819245,0.660371747211896,0.6613315224835098,13450.0
