Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,macro_f1_metric,Time Taken
RandomForestClassifier,0.660371747211896,0.6553823529411765,,0.6613315224835098,0.6564573801329612,24.388740062713623
ExtraTreesClassifier,0.6459479553903346,0.6409411764705883,,0.6467871947705018,0.6418456936955532,13.204585313796997
DecisionTreeClassifier,0.6161338289962826,0.6109264705882352,,0.6169419634158797,0.6117449820677736,1.8486807346343994
KNeighborsClassifier,0.6113754646840148,0.6060882352941176,,0.6123737899656948,0.60737797930271,5.512696266174316
LogisticRegression,0.5915241635687732,0.5869411764705882,,0.5856964021113801,0.5814078536573783,7.796536684036255
SGDClassifier,0.5494423791821561,0.543470588235294,,0.5389754795184144,0.5331936927693304,6.496097803115845
LinearDiscriminantAnalysis,0.5444609665427509,0.542470588235294,,0.5320981525974398,0.5286954585274741,0.5346035957336426
RidgeClassifier,0.49784386617100373,0.4927500000000001,,0.4486841904723607,0.44434821288136656,0.4896228313446045
GaussianNB,0.4901115241635688,0.48550000000000015,,0.46210956198052877,0.45819801556052847,0.3792433738708496
AdaBoostClassifier,0.17702602230483272,0.1750735294117647,,0.1073705412526046,0.10618630734173029,15.191699028015137
