,Pred_Backdoor_Malware,Pred_BenignTraffic,Pred_BrowserHijacking,Pred_CommandInjection,Pred_DDoS-ACK_Fragmentation,Pred_DDoS-HTTP_Flood,Pred_DDoS-ICMP_Flood,Pred_DDoS-ICMP_Fragmentation,Pred_DDoS-PSHACK_Flood,Pred_DDoS-RSTFINFlood,Pred_DDoS-SYN_Flood,Pred_DDoS-SlowLoris,Pred_DDoS-SynonymousIP_Flood,Pred_DDoS-TCP_Flood,Pred_DDoS-UDP_Flood,Pred_DDoS-UDP_Fragmentation,Pred_DictionaryBruteForce,Pred_DNS_Spoofing,Pred_DoS-HTTP_Flood,Pred_DoS-SYN_Flood,Pred_DoS-TCP_Flood,Pred_DoS-UDP_Flood,Pred_MITM-ArpSpoofing,Pred_Mirai-greeth_flood,Pred_Mirai-greip_flood,Pred_Mirai-udpplain,Pred_Recon-HostDiscovery,Pred_Recon-OSScan,Pred_Recon-PingSweep,Pred_Recon-PortScan,Pred_SqlInjection,Pred_Uploading_Attack,Pred_VulnerabilityScan,Pred_XSS
Real_Backdoor_Malware,127,15,13,40,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0,0,0,0,2,0,0,0,23,6,13,5,24,29,11,81
Real_BenignTraffic,12,157,13,9,0,0,0,0,0,0,0,0,0,0,0,0,12,4,0,0,0,0,7,0,0,0,4,48,36,14,29,4,40,11
Real_BrowserHijacking,19,22,195,14,0,0,0,0,0,0,0,0,0,0,0,0,13,4,0,0,0,0,12,0,0,0,18,7,18,6,14,13,13,32
Real_CommandInjection,45,11,18,126,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,2,0,0,0,13,7,14,5,17,41,8,78
Real_DDoS-ACK_Fragmentation,0,0,0,0,390,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Real_DDoS-HTTP_Flood,0,0,0,0,0,333,0,0,0,0,0,8,0,0,0,1,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Real_DDoS-ICMP_Flood,0,0,0,0,0,0,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Real_DDoS-ICMP_Fragmentation,0,0,0,0,0,0,0,397,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Real_DDoS-PSHACK_Flood,0,0,0,0,0,0,0,0,399,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Real_DDoS-RSTFINFlood,0,0,0,0,0,0,0,0,0,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Real_DDoS-SYN_Flood,0,0,0,0,0,0,0,0,0,0,184,0,146,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Real_DDoS-SlowLoris,0,0,0,0,1,5,0,0,0,0,0,394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Real_DDoS-SynonymousIP_Flood,0,0,0,0,0,0,0,0,0,0,99,0,274,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Real_DDoS-TCP_Flood,0,0,0,0,0,0,0,0,0,0,0,1,0,312,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0
Real_DDoS-UDP_Flood,0,0,0,0,0,0,0,0,0,0,0,0,0,0,288,0,0,0,0,0,0,112,0,0,0,0,0,0,0,0,0,0,0,0
Real_DDoS-UDP_Fragmentation,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Real_DictionaryBruteForce,21,29,20,12,0,0,0,0,0,0,0,0,0,0,0,0,185,0,0,0,0,0,2,0,0,0,16,17,23,7,18,7,20,23
Real_DNS_Spoofing,9,7,6,0,0,0,1,0,0,0,0,0,0,0,0,0,2,270,0,0,0,0,66,0,0,0,3,4,7,2,6,4,8,5
Real_DoS-HTTP_Flood,0,0,0,0,0,36,0,0,0,0,0,2,0,0,0,0,0,0,361,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Real_DoS-SYN_Flood,0,0,0,0,0,0,0,0,0,0,76,0,47,0,0,0,0,0,0,277,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Real_DoS-TCP_Flood,0,0,0,0,0,0,0,0,0,0,0,0,0,124,0,0,0,0,0,0,276,0,0,0,0,0,0,0,0,0,0,0,0,0
Real_DoS-UDP_Flood,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,0,0,0,0,0,0,274,0,0,0,1,0,0,0,0,0,0,0,0
Real_MITM-ArpSpoofing,14,5,9,8,0,0,1,0,0,0,0,0,0,0,0,0,4,76,0,0,0,0,254,0,0,0,2,3,4,3,2,7,4,4
Real_Mirai-greeth_flood,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,394,1,0,0,0,0,0,0,0,0,0
Real_Mirai-greip_flood,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,398,0,0,0,0,0,0,0,0,0
Real_Mirai-udpplain,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,397,0,0,0,0,0,0,0,0
Real_Recon-HostDiscovery,24,12,23,10,0,0,0,0,0,0,0,0,0,0,0,0,20,1,0,0,0,0,3,0,0,0,226,14,4,16,8,8,10,21
Real_Recon-OSScan,11,59,15,3,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,2,0,0,0,16,113,34,60,40,2,25,6
Real_Recon-PingSweep,13,42,9,8,0,0,0,0,0,0,0,0,0,0,0,0,27,1,0,0,0,0,1,0,0,0,2,27,149,7,54,4,45,11
Real_Recon-PortScan,6,36,4,5,0,0,0,0,0,0,0,0,0,0,0,0,21,1,0,0,0,0,1,0,0,0,30,80,19,106,44,3,42,2
Real_SqlInjection,11,22,21,11,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,10,14,34,13,148,6,70,22
Real_Uploading_Attack,35,11,16,35,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,3,0,0,0,8,3,9,0,13,52,4,54
Real_VulnerabilityScan,21,22,17,9,0,0,0,0,0,0,0,0,0,0,0,0,16,3,0,0,0,0,3,0,0,0,16,20,28,18,84,8,113,22
Real_XSS,76,14,21,44,0,0,0,0,0,0,0,0,0,0,0,0,17,3,0,0,0,0,0,0,0,0,19,4,5,4,27,36,11,119
