,precision,recall,f1-score,support
Backdoor_Malware,0.0,0.0,0.0,400.0
BenignTraffic,0.14116094986807387,0.2675,0.1848013816925734,400.0
BrowserHijacking,0.10060975609756098,0.0825,0.09065934065934066,400.0
CommandInjection,0.08029197080291971,0.0275,0.040968342644320296,400.0
DDoS-ACK_Fragmentation,0.4049586776859504,0.245,0.3052959501557632,400.0
DDoS-HTTP_Flood,0.006748466257668712,0.0275,0.01083743842364532,400.0
DDoS-ICMP_Flood,0.0,0.0,0.0,400.0
DDoS-ICMP_Fragmentation,0.7572383073496659,0.85,0.800942285041225,400.0
DDoS-PSHACK_Flood,0.5614035087719298,0.08,0.1400437636761488,400.0
DDoS-RSTFINFlood,0.11503267973856209,0.22,0.15107296137339055,400.0
DDoS-SYN_Flood,0.0,0.0,0.0,400.0
DDoS-SlowLoris,0.06531881804043546,0.21,0.099644128113879,400.0
DDoS-SynonymousIP_Flood,0.0,0.0,0.0,400.0
DDoS-TCP_Flood,0.0,0.0,0.0,400.0
DDoS-UDP_Flood,0.0,0.0,0.0,400.0
DDoS-UDP_Fragmentation,0.33109619686800895,0.74,0.4574961360123648,400.0
DictionaryBruteForce,0.0,0.0,0.0,400.0
DNS_Spoofing,0.0,0.0,0.0,400.0
DoS-HTTP_Flood,0.505586592178771,0.4525,0.47757255936675463,400.0
DoS-SYN_Flood,0.08333333333333333,0.01,0.017857142857142856,400.0
DoS-TCP_Flood,0.12879581151832462,0.615,0.21298701298701297,400.0
DoS-UDP_Flood,0.12089023773394031,0.5975,0.20109381573411864,400.0
MITM-ArpSpoofing,0.15151515151515152,0.1,0.12048192771084337,400.0
Mirai-greeth_flood,0.1307277628032345,0.2425,0.16987740805604204,400.0
Mirai-greip_flood,0.27696793002915454,0.7125,0.3988803358992302,400.0
Mirai-udpplain,0.2198952879581152,0.21,0.21483375959079284,400.0
Recon-HostDiscovery,0.0,0.0,0.0,400.0
Recon-OSScan,0.09090909090909091,0.0025,0.004866180048661801,400.0
Recon-PingSweep,0.0,0.0,0.0,400.0
Recon-PortScan,0.23353293413173654,0.0975,0.13756613756613756,400.0
SqlInjection,0.0,0.0,0.0,400.0
Uploading_Attack,0.0,0.0,0.0,250.0
VulnerabilityScan,0.0,0.0,0.0,400.0
XSS,0.0,0.0,0.0,400.0
accuracy,0.1721933085501859,0.1721933085501859,0.1721933085501859,0.1721933085501859
macro avg,0.13252980775269496,0.1702941176470588,0.12464052963557022,13450.0
weighted avg,0.13400783534844993,0.1721933085501859,0.12603057271700782,13450.0
