y_real,y_pred
DNS_Spoofing,DDoS-SlowLoris
DNS_Spoofing,BrowserHijacking
DNS_Spoofing,DDoS-SlowLoris
DNS_Spoofing,DDoS-HTTP_Flood
DNS_Spoofing,DoS-TCP_Flood
DNS_Spoofing,BrowserHijacking
DNS_Spoofing,DDoS-HTTP_Flood
DNS_Spoofing,BrowserHijacking
DNS_Spoofing,BrowserHijacking
DNS_Spoofing,Mirai-greip_flood
DNS_Spoofing,Mirai-greeth_flood
DNS_Spoofing,BrowserHijacking
DNS_Spoofing,Recon-PortScan
DNS_Spoofing,Mirai-udpplain
DNS_Spoofing,BrowserHijacking
DNS_Spoofing,DDoS-HTTP_Flood
DNS_Spoofing,DDoS-HTTP_Flood
DNS_Spoofing,BenignTraffic
DNS_Spoofing,DDoS-HTTP_Flood
DNS_Spoofing,BrowserHijacking
DNS_Spoofing,DDoS-HTTP_Flood
DNS_Spoofing,BrowserHijacking
DNS_Spoofing,BenignTraffic
DNS_Spoofing,DDoS-SlowLoris
DNS_Spoofing,Recon-PortScan
DNS_Spoofing,Recon-PortScan
DNS_Spoofing,BenignTraffic
DNS_Spoofing,DoS-UDP_Flood
DNS_Spoofing,DDoS-HTTP_Flood
DNS_Spoofing,MITM-ArpSpoofing
DNS_Spoofing,BenignTraffic
DNS_Spoofing,DoS-UDP_Flood
DNS_Spoofing,MITM-ArpSpoofing
DNS_Spoofing,DDoS-HTTP_Flood
DNS_Spoofing,DoS-UDP_Flood
DNS_Spoofing,Mirai-greeth_flood
DNS_Spoofing,MITM-ArpSpoofing
DNS_Spoofing,DDoS-HTTP_Flood
DNS_Spoofing,MITM-ArpSpoofing
DNS_Spoofing,DoS-HTTP_Flood
DNS_Spoofing,MITM-ArpSpoofing
DNS_Spoofing,BrowserHijacking
DNS_Spoofing,DDoS-UDP_Fragmentation
DNS_Spoofing,BenignTraffic
DNS_Spoofing,Mirai-greip_flood
DNS_Spoofing,Mirai-udpplain
DNS_Spoofing,MITM-ArpSpoofing
DNS_Spoofing,MITM-ArpSpoofing
DNS_Spoofing,MITM-ArpSpoofing
DNS_Spoofing,DoS-TCP_Flood
DNS_Spoofing,DoS-SYN_Flood
DNS_Spoofing,DoS-UDP_Flood
DNS_Spoofing,BenignTraffic
DNS_Spoofing,Recon-PortScan
DNS_Spoofing,Mirai-greeth_flood
DNS_Spoofing,DDoS-SlowLoris
DNS_Spoofing,Mirai-greip_flood
DNS_Spoofing,DDoS-HTTP_Flood
DNS_Spoofing,DoS-TCP_Flood
DNS_Spoofing,MITM-ArpSpoofing
DNS_Spoofing,DDoS-HTTP_Flood
DNS_Spoofing,DDoS-HTTP_Flood
DNS_Spoofing,DDoS-UDP_Fragmentation
DNS_Spoofing,DDoS-HTTP_Flood
DNS_Spoofing,DDoS-HTTP_Flood
DNS_Spoofing,BenignTraffic
DNS_Spoofing,BenignTraffic
DNS_Spoofing,BrowserHijacking
DNS_Spoofing,Mirai-greeth_flood
DNS_Spoofing,MITM-ArpSpoofing
DNS_Spoofing,Mirai-greeth_flood
DNS_Spoofing,Mirai-greip_flood
DNS_Spoofing,CommandInjection
DNS_Spoofing,Mirai-greip_flood
DNS_Spoofing,Mirai-udpplain
DNS_Spoofing,DDoS-HTTP_Flood
DNS_Spoofing,DoS-UDP_Flood
DNS_Spoofing,BrowserHijacking
DNS_Spoofing,DDoS-UDP_Fragmentation
DNS_Spoofing,CommandInjection
DNS_Spoofing,MITM-ArpSpoofing
DNS_Spoofing,Recon-PortScan
DNS_Spoofing,BrowserHijacking
DNS_Spoofing,BrowserHijacking
DNS_Spoofing,MITM-ArpSpoofing
DNS_Spoofing,BrowserHijacking
DNS_Spoofing,DDoS-HTTP_Flood
DNS_Spoofing,DoS-TCP_Flood
DNS_Spoofing,BenignTraffic
DNS_Spoofing,DoS-HTTP_Flood
DNS_Spoofing,DDoS-SlowLoris
DNS_Spoofing,DoS-UDP_Flood
DNS_Spoofing,DDoS-HTTP_Flood
DNS_Spoofing,DoS-UDP_Flood
DNS_Spoofing,DDoS-HTTP_Flood
DNS_Spoofing,DoS-TCP_Flood
DNS_Spoofing,MITM-ArpSpoofing
DNS_Spoofing,Recon-PortScan
DNS_Spoofing,DDoS-SlowLoris
