,Pred_Backdoor_Malware,Pred_BenignTraffic,Pred_BrowserHijacking,Pred_CommandInjection,Pred_DDoS-ACK_Fragmentation,Pred_DDoS-HTTP_Flood,Pred_DDoS-ICMP_Flood,Pred_DDoS-ICMP_Fragmentation,Pred_DDoS-PSHACK_Flood,Pred_DDoS-RSTFINFlood,Pred_DDoS-SYN_Flood,Pred_DDoS-SlowLoris,Pred_DDoS-SynonymousIP_Flood,Pred_DDoS-TCP_Flood,Pred_DDoS-UDP_Flood,Pred_DDoS-UDP_Fragmentation,Pred_DictionaryBruteForce,Pred_DNS_Spoofing,Pred_DoS-HTTP_Flood,Pred_DoS-SYN_Flood,Pred_DoS-TCP_Flood,Pred_DoS-UDP_Flood,Pred_MITM-ArpSpoofing,Pred_Mirai-greeth_flood,Pred_Mirai-greip_flood,Pred_Mirai-udpplain,Pred_Recon-HostDiscovery,Pred_Recon-OSScan,Pred_Recon-PingSweep,Pred_Recon-PortScan,Pred_SqlInjection,Pred_Uploading_Attack,Pred_VulnerabilityScan,Pred_XSS
Real_Backdoor_Malware,0.0,0.0975,0.0175,0.005,0.0,0.3525,0.0,0.0,0.0,0.0,0.0,0.215,0.0,0.0,0.0,0.1325,0.0,0.0,0.0,0.0025,0.0025,0.05,0.0125,0.0225,0.06,0.02,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0
Real_BenignTraffic,0.0,0.2675,0.0775,0.035,0.0,0.255,0.0,0.0,0.0,0.0075,0.0,0.18,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.01,0.015,0.05,0.0275,0.025,0.0025,0.0075,0.0,0.0025,0.0,0.0125,0.0,0.0,0.0,0.0
Real_BrowserHijacking,0.0,0.17,0.0825,0.0125,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.0275,0.0,0.0,0.0075,0.0,0.005,0.06,0.085,0.045,0.03,0.01,0.0,0.005,0.0,0.03,0.0,0.0,0.0,0.0
Real_CommandInjection,0.0,0.13,0.03,0.0275,0.0,0.27,0.0,0.0,0.0,0.005,0.0,0.1575,0.0,0.0,0.0,0.115,0.0,0.0,0.015,0.0,0.005,0.0975,0.0475,0.015,0.0575,0.0225,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0
Real_DDoS-ACK_Fragmentation,0.0,0.0,0.0,0.0025,0.245,0.0,0.0,0.0825,0.0,0.0,0.0,0.0175,0.0,0.0,0.0,0.5225,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Real_DDoS-HTTP_Flood,0.0,0.0,0.0,0.0,0.0525,0.0275,0.0,0.0225,0.0,0.0025,0.0,0.1125,0.0,0.0,0.01,0.155,0.0,0.0,0.11,0.005,0.02,0.11,0.0,0.2525,0.115,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Real_DDoS-ICMP_Flood,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.005,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.5525,0.2875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Real_DDoS-ICMP_Fragmentation,0.0,0.0,0.0025,0.0,0.125,0.005,0.0,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Real_DDoS-PSHACK_Flood,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.145,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,0.0,0.0025,0.5225,0.245,0.0025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Real_DDoS-RSTFINFlood,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.005,0.22,0.0,0.0025,0.0,0.0,0.0025,0.0025,0.0,0.0,0.0,0.005,0.4775,0.27,0.0025,0.0,0.0,0.0025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
