,Pred_Backdoor_Malware,Pred_BenignTraffic,Pred_BrowserHijacking,Pred_CommandInjection,Pred_DDoS-ACK_Fragmentation,Pred_DDoS-HTTP_Flood,Pred_DDoS-ICMP_Flood,Pred_DDoS-ICMP_Fragmentation,Pred_DDoS-PSHACK_Flood,Pred_DDoS-RSTFINFlood,Pred_DDoS-SYN_Flood,Pred_DDoS-SlowLoris,Pred_DDoS-SynonymousIP_Flood,Pred_DDoS-TCP_Flood,Pred_DDoS-UDP_Flood,Pred_DDoS-UDP_Fragmentation,Pred_DictionaryBruteForce,Pred_DNS_Spoofing,Pred_DoS-HTTP_Flood,Pred_DoS-SYN_Flood,Pred_DoS-TCP_Flood,Pred_DoS-UDP_Flood,Pred_MITM-ArpSpoofing,Pred_Mirai-greeth_flood,Pred_Mirai-greip_flood,Pred_Mirai-udpplain,Pred_Recon-HostDiscovery,Pred_Recon-OSScan,Pred_Recon-PingSweep,Pred_Recon-PortScan,Pred_SqlInjection,Pred_Uploading_Attack,Pred_VulnerabilityScan,Pred_XSS
Real_Backdoor_Malware,0,39,7,2,0,141,0,0,0,0,0,86,0,0,0,53,0,0,0,1,1,20,5,9,24,8,0,0,0,4,0,0,0,0
Real_BenignTraffic,0,107,31,14,0,102,0,0,0,3,0,72,0,0,0,10,0,0,0,4,6,20,11,10,1,3,0,1,0,5,0,0,0,0
Real_BrowserHijacking,0,68,33,5,0,76,0,0,0,0,0,96,0,0,0,11,0,0,3,0,2,24,34,18,12,4,0,2,0,12,0,0,0,0
Real_CommandInjection,0,52,12,11,0,108,0,0,0,2,0,63,0,0,0,46,0,0,6,0,2,39,19,6,23,9,0,0,0,2,0,0,0,0
Real_DDoS-ACK_Fragmentation,0,0,0,1,98,0,0,33,0,0,0,7,0,0,0,209,0,0,50,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Real_DDoS-HTTP_Flood,0,0,0,0,21,11,0,9,0,1,0,45,0,0,4,62,0,0,44,2,8,44,0,101,46,2,0,0,0,0,0,0,0,0
Real_DDoS-ICMP_Flood,0,0,0,0,0,1,0,0,2,60,0,0,0,0,0,0,0,0,0,1,221,115,0,0,0,0,0,0,0,0,0,0,0,0
Real_DDoS-ICMP_Fragmentation,0,0,1,0,50,2,0,340,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Real_DDoS-PSHACK_Flood,0,0,0,0,0,0,0,0,32,58,0,0,0,0,1,0,0,0,0,1,209,98,1,0,0,0,0,0,0,0,0,0,0,0
Real_DDoS-RSTFINFlood,0,0,0,0,0,4,0,0,2,88,0,1,0,0,1,1,0,0,0,2,191,108,1,0,0,1,0,0,0,0,0,0,0,0
