Framework,Status,Duração (s),Erro,Accuracy,Balanced Accuracy,Precision Macro,Recall Macro,Macro-F1,Weighted-F1,MCC,ROC-AUC,Average Precision
autogluon,success,731.0758323669434,,0.6770260223048327,0.6719411764705884,0.6837549453269319,0.6719411764705884,0.6730008235285796,0.6776856572430056,0.6676764459078006,,
sklearn,success,1252.226721048355,,0.6763568773234201,0.6715441176470588,0.6795016182873492,0.6715441176470588,0.6724622800406317,0.6769878816767727,0.6667780970676565,,
tpot,success,662.0851285457611,,0.6670631970260223,0.6618676470588236,0.6761924417533747,0.6618676470588236,0.6611174525193945,0.6657985470417873,0.6575868346636218,,
autosklearn,success,765.1839592456818,,0.6600743494423792,0.6549117647058823,0.6624260160914464,0.6549117647058823,0.6565721881133701,0.6615415172262813,0.6499489530610865,,
lazypredict,success,102.0618622303009,,0.660371747211896,0.6553823529411765,0.6601910589149494,0.6553823529411765,0.6564573801329612,0.6613315224835098,0.6501588347215057,,
autopytorch,success,918.5760245323181,,0.576728624535316,0.574735294117647,0.5933533746047394,0.574735294117647,0.5683745134003801,0.5724737307354064,0.5653409984869288,,
flaml,success,708.7332291603088,,0.5595539033457249,0.555279411764706,0.557504734664938,0.555279411764706,0.5512313712937149,0.5555165877996434,0.5464477301123015,,
pycaret,success,790.8521845340729,,0.1721933085501859,0.1702941176470588,0.1325298077526949,0.1702941176470588,0.1246405296355702,0.1260305727170078,0.1515495823496437,,
autokeras,success,952.1047358512878,,0.1315241635687732,0.1300735294117647,0.1300581778933622,0.1300735294117647,0.0942793904112697,0.0953308334270087,0.1237551761802277,,
h2o,error,642.8954079151154,RuntimeError('H2O AutoML terminou sem modelo líder.'),,,,,,,,,
