,precision,recall,f1-score,support
Backdoor_Malware,0.28077753779697623,0.325,0.30127462340672073,400.0
BenignTraffic,0.33575317604355714,0.4625,0.3890641430073607,400.0
BrowserHijacking,0.47757255936675463,0.4525,0.46469833119383824,400.0
CommandInjection,0.4411764705882353,0.2625,0.329153605015674,400.0
DDoS-ACK_Fragmentation,0.9773299748110831,0.97,0.973651191969887,400.0
DDoS-HTTP_Flood,0.8807588075880759,0.8125,0.8452535760728218,400.0
DDoS-ICMP_Flood,0.9975062344139651,1.0,0.9987515605493134,400.0
DDoS-ICMP_Fragmentation,1.0,0.9925,0.9962358845671268,400.0
DDoS-PSHACK_Flood,1.0,0.995,0.9974937343358395,400.0
DDoS-RSTFINFlood,0.9950248756218906,1.0,0.9975062344139651,400.0
DDoS-SYN_Flood,0.5968992248062015,0.385,0.46808510638297873,400.0
DDoS-SlowLoris,0.9006928406466512,0.975,0.936374549819928,400.0
DDoS-SynonymousIP_Flood,0.5482315112540193,0.8525,0.6673189823874756,400.0
DDoS-TCP_Flood,0.7333333333333333,0.8525,0.7884393063583816,400.0
DDoS-UDP_Flood,0.6690647482014388,0.93,0.7782426778242678,400.0
DDoS-UDP_Fragmentation,1.0,0.985,0.9924433249370277,400.0
DictionaryBruteForce,0.48663101604278075,0.455,0.4702842377260982,400.0
DNS_Spoofing,0.7611111111111111,0.685,0.7210526315789474,400.0
DoS-HTTP_Flood,0.84688995215311,0.885,0.8655256723716381,400.0
DoS-SYN_Flood,0.8710691823899371,0.6925,0.7715877437325905,400.0
DoS-TCP_Flood,0.8165680473372781,0.69,0.7479674796747967,400.0
DoS-UDP_Flood,0.8816326530612245,0.54,0.6697674418604651,400.0
MITM-ArpSpoofing,0.639225181598063,0.66,0.6494464944649446,400.0
Mirai-greeth_flood,0.9948979591836735,0.975,0.9848484848484849,400.0
Mirai-greip_flood,0.9875311720698254,0.99,0.9887640449438202,400.0
Mirai-udpplain,1.0,0.9875,0.9937106918238994,400.0
Recon-HostDiscovery,0.5820512820512821,0.5675,0.5746835443037974,400.0
Recon-OSScan,0.2975609756097561,0.1525,0.20165289256198346,400.0
Recon-PingSweep,0.383248730964467,0.3775,0.380352644836272,400.0
Recon-PortScan,0.5119047619047619,0.3225,0.39570552147239263,400.0
SqlInjection,0.27682737169517885,0.445,0.34132310642377756,400.0
Uploading_Attack,0.3141025641025641,0.196,0.2413793103448276,250.0
VulnerabilityScan,0.2992874109263658,0.315,0.30694275274056027,400.0
XSS,0.20588235294117646,0.315,0.2490118577075099,400.0
accuracy,0.6670631970260223,0.6670631970260223,0.6670631970260223,0.6670631970260223
macro avg,0.6761924417533747,0.6618676470588236,0.6611174525193945,13450.0
weighted avg,0.6802306188275472,0.6670631970260223,0.6657985470417874,13450.0
