,Pred_Backdoor_Malware,Pred_BenignTraffic,Pred_BrowserHijacking,Pred_CommandInjection,Pred_DDoS-ACK_Fragmentation,Pred_DDoS-HTTP_Flood,Pred_DDoS-ICMP_Flood,Pred_DDoS-ICMP_Fragmentation,Pred_DDoS-PSHACK_Flood,Pred_DDoS-RSTFINFlood,Pred_DDoS-SYN_Flood,Pred_DDoS-SlowLoris,Pred_DDoS-SynonymousIP_Flood,Pred_DDoS-TCP_Flood,Pred_DDoS-UDP_Flood,Pred_DDoS-UDP_Fragmentation,Pred_DictionaryBruteForce,Pred_DNS_Spoofing,Pred_DoS-HTTP_Flood,Pred_DoS-SYN_Flood,Pred_DoS-TCP_Flood,Pred_DoS-UDP_Flood,Pred_MITM-ArpSpoofing,Pred_Mirai-greeth_flood,Pred_Mirai-greip_flood,Pred_Mirai-udpplain,Pred_Recon-HostDiscovery,Pred_Recon-OSScan,Pred_Recon-PingSweep,Pred_Recon-PortScan,Pred_SqlInjection,Pred_Uploading_Attack,Pred_VulnerabilityScan,Pred_XSS
Real_Backdoor_Malware,0.325,0.0575,0.03,0.0475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0175,0.005,0.0,0.0,0.0,0.0,0.015,0.0,0.0,0.0,0.035,0.005,0.035,0.0,0.0925,0.05,0.03,0.255
Real_BenignTraffic,0.025,0.4625,0.0375,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.035,0.015,0.0,0.0,0.0,0.0,0.0175,0.0,0.0,0.0,0.0025,0.075,0.08,0.01,0.0925,0.0075,0.09,0.03
Real_BrowserHijacking,0.0675,0.08,0.4525,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0425,0.005,0.0,0.0,0.0,0.0,0.065,0.0,0.0,0.0,0.0175,0.01,0.045,0.0025,0.0375,0.0075,0.0425,0.095
Real_CommandInjection,0.1475,0.0375,0.0375,0.2625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0275,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0275,0.01,0.0425,0.0,0.0575,0.07,0.0225,0.2525
Real_DDoS-ACK_Fragmentation,0.0,0.0,0.0,0.0,0.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Real_DDoS-HTTP_Flood,0.0,0.0,0.0,0.0,0.0025,0.8125,0.0,0.0,0.0,0.0025,0.0,0.0225,0.0,0.0,0.0,0.0,0.0,0.0,0.1575,0.0,0.0025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Real_DDoS-ICMP_Flood,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Real_DDoS-ICMP_Fragmentation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9925,0.0,0.0,0.0,0.0075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Real_DDoS-PSHACK_Flood,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.995,0.0,0.0,0.0025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Real_DDoS-RSTFINFlood,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Real_DDoS-SYN_Flood,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.385,0.0,0.5125,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,0.0
Real_DDoS-SlowLoris,0.0,0.0,0.0,0.0,0.005,0.0125,0.0,0.0,0.0,0.0025,0.0,0.975,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Real_DDoS-SynonymousIP_Flood,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.145,0.0,0.8525,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Real_DDoS-TCP_Flood,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.8525,0.0,0.0,0.0,0.0,0.0,0.0,0.145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Real_DDoS-UDP_Flood,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Real_DDoS-UDP_Fragmentation,0.0,0.0,0.0,0.0,0.0075,0.0,0.0,0.0,0.0,0.0,0.0,0.0075,0.0,0.0,0.0,0.985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Real_DictionaryBruteForce,0.0475,0.08,0.06,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.455,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0525,0.025,0.06,0.01,0.03,0.0125,0.055,0.0875
Real_DNS_Spoofing,0.0225,0.0275,0.01,0.0075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.685,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.01,0.0025,0.01,0.0,0.01,0.0025,0.0075,0.0225
Real_DoS-HTTP_Flood,0.0,0.0,0.0,0.0,0.0,0.0975,0.0,0.0,0.0,0.0,0.0,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0
Real_DoS-SYN_Flood,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.115,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.6925,0.0025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Real_DoS-TCP_Flood,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Real_DoS-UDP_Flood,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
