,Pred_Backdoor_Malware,Pred_BenignTraffic,Pred_BrowserHijacking,Pred_CommandInjection,Pred_DDoS-ACK_Fragmentation,Pred_DDoS-HTTP_Flood,Pred_DDoS-ICMP_Flood,Pred_DDoS-ICMP_Fragmentation,Pred_DDoS-PSHACK_Flood,Pred_DDoS-RSTFINFlood,Pred_DDoS-SYN_Flood,Pred_DDoS-SlowLoris,Pred_DDoS-SynonymousIP_Flood,Pred_DDoS-TCP_Flood,Pred_DDoS-UDP_Flood,Pred_DDoS-UDP_Fragmentation,Pred_DictionaryBruteForce,Pred_DNS_Spoofing,Pred_DoS-HTTP_Flood,Pred_DoS-SYN_Flood,Pred_DoS-TCP_Flood,Pred_DoS-UDP_Flood,Pred_MITM-ArpSpoofing,Pred_Mirai-greeth_flood,Pred_Mirai-greip_flood,Pred_Mirai-udpplain,Pred_Recon-HostDiscovery,Pred_Recon-OSScan,Pred_Recon-PingSweep,Pred_Recon-PortScan,Pred_SqlInjection,Pred_Uploading_Attack,Pred_VulnerabilityScan,Pred_XSS
Real_Backdoor_Malware,130,23,12,19,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0,0,0,6,0,0,0,14,2,14,0,37,20,12,102
Real_BenignTraffic,10,185,15,8,0,0,0,0,0,0,0,0,0,0,0,0,14,6,0,0,0,0,7,0,0,0,1,30,32,4,37,3,36,12
Real_BrowserHijacking,27,32,181,12,0,0,0,0,0,0,0,0,0,0,0,0,17,2,0,0,0,0,26,0,0,0,7,4,18,1,15,3,17,38
Real_CommandInjection,59,15,15,105,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,2,0,0,0,11,4,17,0,23,28,9,101
Real_DDoS-ACK_Fragmentation,0,0,0,0,388,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Real_DDoS-HTTP_Flood,0,0,0,0,1,325,0,0,0,1,0,9,0,0,0,0,0,0,63,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Real_DDoS-ICMP_Flood,0,0,0,0,0,0,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Real_DDoS-ICMP_Fragmentation,0,0,0,0,0,0,0,397,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Real_DDoS-PSHACK_Flood,0,0,0,0,0,0,0,0,398,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Real_DDoS-RSTFINFlood,0,0,0,0,0,0,0,0,0,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Real_DDoS-SYN_Flood,0,0,0,0,0,0,0,0,0,0,154,0,205,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Real_DDoS-SlowLoris,0,0,0,0,2,5,0,0,0,1,0,390,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Real_DDoS-SynonymousIP_Flood,0,0,0,0,0,0,0,0,0,0,58,0,341,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Real_DDoS-TCP_Flood,0,0,0,0,0,0,0,0,0,0,0,1,0,341,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0
Real_DDoS-UDP_Flood,0,0,0,0,0,0,0,0,0,0,0,0,0,0,372,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0
Real_DDoS-UDP_Fragmentation,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Real_DictionaryBruteForce,19,32,24,6,0,0,0,0,0,0,0,0,0,0,0,0,182,0,0,0,0,0,4,0,0,0,21,10,24,4,12,5,22,35
Real_DNS_Spoofing,9,11,4,3,0,0,0,0,0,0,0,0,0,0,0,0,1,274,0,0,0,0,72,0,0,0,4,1,4,0,4,1,3,9
Real_DoS-HTTP_Flood,0,0,0,0,0,39,0,0,0,0,0,6,0,0,0,0,0,0,354,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
