,precision,recall,f1-score,support
Backdoor_Malware,0.2799043062200957,0.2925,0.2860635696821516,400.0
BenignTraffic,0.37732342007434944,0.5075,0.43283582089552236,400.0
BrowserHijacking,0.5473684210526316,0.52,0.5333333333333333,400.0
CommandInjection,0.4489795918367347,0.33,0.3804034582132565,400.0
DDoS-ACK_Fragmentation,0.982367758186398,0.975,0.9786700125470514,400.0
DDoS-HTTP_Flood,0.8934426229508197,0.8175,0.8537859007832899,400.0
DDoS-ICMP_Flood,1.0,1.0,1.0,400.0
DDoS-ICMP_Fragmentation,1.0,0.995,0.9974937343358395,400.0
DDoS-PSHACK_Flood,1.0,0.9975,0.9987484355444305,400.0
DDoS-RSTFINFlood,0.9975062344139651,1.0,0.9987515605493134,400.0
DDoS-SYN_Flood,0.5504087193460491,0.505,0.5267275097783573,400.0
DDoS-SlowLoris,0.9407582938388626,0.9925,0.9659367396593674,400.0
DDoS-SynonymousIP_Flood,0.5706106870229007,0.7475,0.6471861471861472,400.0
DDoS-TCP_Flood,0.7466960352422908,0.8475,0.7939110070257611,400.0
DDoS-UDP_Flood,0.703016241299304,0.7575,0.7292418772563177,400.0
DDoS-UDP_Fragmentation,0.9924242424242424,0.9825,0.9874371859296482,400.0
DictionaryBruteForce,0.49865951742627346,0.465,0.48124191461837,400.0
DNS_Spoofing,0.760989010989011,0.6925,0.725130890052356,400.0
DoS-HTTP_Flood,0.8447058823529412,0.8975,0.8703030303030304,400.0
DoS-SYN_Flood,0.8774193548387097,0.68,0.7661971830985915,400.0
DoS-TCP_Flood,0.8236994219653179,0.7125,0.7640750670241286,400.0
DoS-UDP_Flood,0.7344173441734417,0.6775,0.7048114434330299,400.0
MITM-ArpSpoofing,0.6921119592875318,0.68,0.6860025220680959,400.0
Mirai-greeth_flood,0.9974358974358974,0.9725,0.9848101265822785,400.0
Mirai-greip_flood,0.9851485148514851,0.995,0.9900497512437811,400.0
Mirai-udpplain,0.9949874686716792,0.9925,0.9937421777221527,400.0
Recon-HostDiscovery,0.5928571428571429,0.6225,0.6073170731707317,400.0
Recon-OSScan,0.33079847908745247,0.2175,0.26244343891402716,400.0
Recon-PingSweep,0.3855140186915888,0.4125,0.39855072463768115,400.0
Recon-PortScan,0.45185185185185184,0.305,0.3641791044776119,400.0
SqlInjection,0.3007380073800738,0.4075,0.346072186836518,400.0
Uploading_Attack,0.3,0.24,0.26666666666666666,250.0
VulnerabilityScan,0.28741092636579574,0.3025,0.29476248477466505,400.0
XSS,0.21350364963503649,0.2925,0.2468354430379747,400.0
accuracy,0.6763568773234201,0.6763568773234201,0.6763568773234201,0.6763568773234201
macro avg,0.6795016182873491,0.6715441176470588,0.6724622800406317,13450.0
weighted avg,0.6837339783425985,0.6763568773234201,0.6769878816767727,13450.0
