,Pred_Backdoor_Malware,Pred_BenignTraffic,Pred_BrowserHijacking,Pred_CommandInjection,Pred_DDoS-ACK_Fragmentation,Pred_DDoS-HTTP_Flood,Pred_DDoS-ICMP_Flood,Pred_DDoS-ICMP_Fragmentation,Pred_DDoS-PSHACK_Flood,Pred_DDoS-RSTFINFlood,Pred_DDoS-SYN_Flood,Pred_DDoS-SlowLoris,Pred_DDoS-SynonymousIP_Flood,Pred_DDoS-TCP_Flood,Pred_DDoS-UDP_Flood,Pred_DDoS-UDP_Fragmentation,Pred_DictionaryBruteForce,Pred_DNS_Spoofing,Pred_DoS-HTTP_Flood,Pred_DoS-SYN_Flood,Pred_DoS-TCP_Flood,Pred_DoS-UDP_Flood,Pred_MITM-ArpSpoofing,Pred_Mirai-greeth_flood,Pred_Mirai-greip_flood,Pred_Mirai-udpplain,Pred_Recon-HostDiscovery,Pred_Recon-OSScan,Pred_Recon-PingSweep,Pred_Recon-PortScan,Pred_SqlInjection,Pred_Uploading_Attack,Pred_VulnerabilityScan,Pred_XSS
Real_Backdoor_Malware,117,18,18,34,0,0,0,0,0,0,0,0,0,0,0,0,9,2,0,0,0,0,5,0,0,0,17,5,12,4,23,28,13,95
Real_BenignTraffic,12,203,11,7,0,0,0,0,0,0,0,0,0,0,0,0,16,6,0,0,0,0,6,0,0,0,2,25,25,7,27,5,36,12
Real_BrowserHijacking,13,20,208,9,0,0,0,0,0,0,0,0,0,0,0,0,17,2,0,0,0,0,17,0,0,0,12,4,16,5,19,7,17,34
Real_CommandInjection,58,6,13,132,0,0,0,0,0,0,0,0,0,0,0,0,9,2,0,0,0,0,2,0,0,0,9,2,19,3,24,25,6,90
Real_DDoS-ACK_Fragmentation,0,0,0,0,390,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Real_DDoS-HTTP_Flood,0,0,0,0,1,327,0,0,0,1,0,4,0,0,0,0,0,0,66,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Real_DDoS-ICMP_Flood,0,0,0,0,0,0,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Real_DDoS-ICMP_Fragmentation,0,0,0,0,0,0,0,398,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Real_DDoS-PSHACK_Flood,0,0,0,0,0,0,0,0,399,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Real_DDoS-RSTFINFlood,0,0,0,0,0,0,0,0,0,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
