y_true,y_pred,score_malicious
Benign,Benign,0.00041330596839223954
Malicious,Malicious,0.9932385615203061
Malicious,Malicious,0.9709568593038783
Benign,Benign,1.0474441122227293e-06
Benign,Malicious,0.9999845794954884
Benign,Benign,0.279958705133996
Benign,Benign,0.0335145315189292
Benign,Benign,0.007512656519499206
Benign,Malicious,0.6769998325958163
Malicious,Malicious,0.632171293485606
Malicious,Malicious,0.9817776773288535
Malicious,Malicious,0.9995648607342148
Malicious,Benign,0.011209994948997057
Benign,Benign,0.006012083561943262
Benign,Malicious,0.7757764688956782
Malicious,Malicious,0.9999962632957142
Benign,Benign,3.118842141592303e-08
Malicious,Malicious,0.9999875694077882
Malicious,Malicious,0.9999980408144621
Benign,Benign,0.0006970967602795587
Benign,Benign,1.8548620359146345e-06
Benign,Benign,6.232643728408597e-07
Malicious,Malicious,0.5891286232099509
Benign,Malicious,0.8173470020248982
Malicious,Malicious,0.9964305254444575
Malicious,Malicious,0.9999299953963547
Malicious,Malicious,0.9999969800545009
Benign,Benign,6.225602417325405e-05
Benign,Benign,0.21245634311012315
Malicious,Benign,0.11259800305461387
Malicious,Malicious,0.9991265516845765
Benign,Benign,2.5730448160632443e-06
Malicious,Malicious,0.9999948093708518
Benign,Benign,1.0074869209224195e-05
Benign,Malicious,0.9995188154408453
Malicious,Malicious,0.9999976678393785
Benign,Benign,0.001326364805916054
Malicious,Malicious,0.9999992108814869
Malicious,Malicious,0.9588500976351502
Benign,Benign,0.004991889088835732
Malicious,Malicious,0.9966695630816389
Malicious,Malicious,0.9716542736464159
Malicious,Malicious,0.9999977569205903
Benign,Benign,7.42496411718605e-05
Malicious,Malicious,0.9999979968169501
Benign,Benign,0.0005811776770202618
Benign,Benign,0.0003001103689952414
Benign,Benign,1.8548620359146345e-06
Benign,Benign,5.1672188168729156e-05
Benign,Benign,0.010729824935053141
Benign,Benign,1.8548620359146345e-06
Benign,Benign,7.657497748784422e-05
Malicious,Malicious,0.9999999603079976
Malicious,Malicious,0.999999964510662
Malicious,Malicious,0.9856614402081808
Malicious,Benign,0.00013127889770600282
Benign,Benign,0.00020655061029202767
Benign,Benign,0.15826839400748616
Malicious,Benign,0.15624259774894553
Malicious,Malicious,0.9999843475437488
Malicious,Malicious,0.9999999944621139
Benign,Benign,8.791616353881818e-07
Malicious,Malicious,0.9999999997724396
Malicious,Malicious,0.9999988660287766
Benign,Benign,0.0002776772102141633
Malicious,Malicious,0.9999642485129349
Malicious,Benign,0.15862522839320017
Benign,Benign,1.3104085743839536e-06
Benign,Benign,6.775488360637943e-07
Benign,Benign,7.568029097296034e-06
Benign,Benign,3.13340395468374e-06
Malicious,Benign,0.4576070677852537
Malicious,Malicious,0.9999486570501244
Benign,Benign,1.4682285386410948e-05
Malicious,Malicious,0.9999999992366428
Malicious,Benign,0.1091445869789904
Benign,Benign,0.4139424424509307
Malicious,Malicious,0.9988282493967514
Malicious,Malicious,0.999999690430139
Benign,Benign,0.008944937765315597
