model_id,mean_per_class_error,auc,logloss,aucpr,rmse,mse
GBM_2_AutoML_1_20260613_181134,0.0625,0.959375,0.2725936797352223,0.9532038413858024,0.2859161815740528,0.0817480628858867
GBM_3_AutoML_1_20260613_181134,0.075,0.961875,0.2674224065492597,0.960388053290184,0.2871114615713812,0.0824329913656547
XGBoost_grid_1_AutoML_1_20260613_181134_model_25,0.075,0.950625,0.2896330109937311,0.9531722148546518,0.2926271443636762,0.0856306456184398
StackedEnsemble_AllModels_1_AutoML_1_20260613_181134,0.075,0.9575,0.2651139154431713,0.9602020971269976,0.2829037434991052,0.0800345280858075
XGBoost_grid_1_AutoML_1_20260613_181134_model_5,0.075,0.955625,0.2837015800986874,0.9577990475184212,0.2891468849569784,0.083605921080324
StackedEnsemble_BestOfFamily_2_AutoML_1_20260613_181134,0.075,0.958125,0.2669579352788615,0.9606732921872296,0.2835654403533758,0.0804093589628039
StackedEnsemble_BestOfFamily_3_AutoML_1_20260613_181134,0.075,0.95125,0.2763749843329645,0.9534670598556366,0.2905480244223333,0.0844181544957208
XGBoost_grid_1_AutoML_1_20260613_181134_model_4,0.0875,0.944375,0.297746120041326,0.9419210956576022,0.3004004836396785,0.0902404505709527
GBM_grid_1_AutoML_1_20260613_181134_model_2,0.0875,0.955625,0.278915101091175,0.9496028224737644,0.2858315748132092,0.0816996891601992
GBM_grid_1_AutoML_1_20260613_181134_model_11,0.0875,0.9525,0.2914115305899882,0.947763187635696,0.2988479044563779,0.0893100699979684
XGBoost_grid_1_AutoML_1_20260613_181134_model_28,0.1,0.954375,0.2728646006463586,0.9539748155681508,0.2901430151690257,0.0841829692513734
XGBoost_grid_1_AutoML_1_20260613_181134_model_14,0.1,0.954375,0.2977263789917915,0.957918650153742,0.3022898192023095,0.0913791347933649
XGBoost_grid_1_AutoML_1_20260613_181134_model_21,0.1,0.95375,0.274941675052225,0.9468039796500232,0.2854727751561467,0.0814947053553518
XGBoost_grid_1_AutoML_1_20260613_181134_model_17,0.1,0.938125,0.3333879796392383,0.9447158184306812,0.3233813727399484,0.1045755122351734
GBM_grid_1_AutoML_1_20260613_181134_model_13,0.1,0.96375,0.2445992346747831,0.9646149605789922,0.2774216439138671,0.0769627685118725
GBM_grid_1_AutoML_1_20260613_181134_model_10,0.1,0.956875,0.275494702474628,0.9545574591934358,0.2917812757022458,0.0851363128504299
XGBoost_2_AutoML_1_20260613_181134,0.1,0.9525,0.2819918968295353,0.9549562463379274,0.2915561732459744,0.0850050021578366
GBM_grid_1_AutoML_1_20260613_181134_model_1,0.1,0.94,0.3266280870500325,0.9383692029772044,0.317264512234562,0.1006567707234345
GBM_5_AutoML_1_20260613_181134,0.1,0.94125,0.3219798679380484,0.9398141673350198,0.3127623823027026,0.0978203077836619
XGBoost_grid_1_AutoML_1_20260613_181134_model_6,0.1,0.955625,0.2742117083962214,0.9560737856434076,0.2915353475535006,0.0849928588731404
XGBoost_grid_1_AutoML_1_20260613_181134_model_18,0.1,0.944375,0.3119347282156733,0.9409556674372082,0.3147397428007681,0.0990611056982937
GLM_1_AutoML_1_20260613_181134,0.1,0.925625,0.3507704014873755,0.9263527825592264,0.3163904270290806,0.1001029023156439
GBM_grid_1_AutoML_1_20260613_181134_model_15,0.1,0.955,0.2745325213774751,0.9510416414066818,0.2872438140385288,0.0825090087034009
StackedEnsemble_BestOfFamily_1_AutoML_1_20260613_181134,0.1,0.926875,0.3465531470987832,0.9276225236865294,0.3137931743907056,0.0984661562941957
XGBoost_3_AutoML_1_20260613_181134,0.1,0.951875,0.2930554286074695,0.957367735474147,0.2964675326850681,0.0878929979363719
GBM_grid_1_AutoML_1_20260613_181134_model_4,0.1,0.945,0.3056752429987521,0.9331758945833112,0.3055052498478176,0.0933334576845774
XGBoost_grid_1_AutoML_1_20260613_181134_model_24,0.1125,0.940625,0.3167316464502284,0.9391679002936232,0.3096324830493873,0.0958722745593291
XGBoost_grid_1_AutoML_1_20260613_181134_model_31,0.1125,0.945625,0.3016471185681789,0.9503146067980224,0.3118073054583003,0.0972237957371658
GBM_grid_1_AutoML_1_20260613_181134_model_5,0.1125,0.936875,0.3439916860955353,0.9285119334985148,0.3209595326656536,0.1030150216089547
GBM_grid_1_AutoML_1_20260613_181134_model_18,0.1125,0.950625,0.2860406350122757,0.9460573603998148,0.2984300978766098,0.0890605233186429
XGBoost_grid_1_AutoML_1_20260613_181134_model_19,0.1125,0.93625,0.3216396636359728,0.9188769174083622,0.3066038709898661,0.0940059337059704
GBM_grid_1_AutoML_1_20260613_181134_model_9,0.1125,0.949375,0.2991172205069747,0.9433667685955074,0.3023767580238912,0.0914317037930388
GBM_4_AutoML_1_20260613_181134,0.1125,0.94875,0.297886697959731,0.9479727179673978,0.3035758018309465,0.0921582674573021
StackedEnsemble_BestOfFamily_4_AutoML_1_20260613_181134,0.1125,0.92875,0.3361584783619091,0.92110913199216,0.3221533938100633,0.1037828091433417
GBM_grid_1_AutoML_1_20260613_181134_model_12,0.1125,0.944375,0.3097542841353086,0.945651153654939,0.3052935459571755,0.093204149203106
XGBoost_grid_1_AutoML_1_20260613_181134_model_29,0.1125,0.935625,0.355692355065682,0.9455638007670354,0.3270200986671684,0.1069421449322846
StackedEnsemble_AllModels_2_AutoML_1_20260613_181134,0.1125,0.94625,0.2920082205626741,0.9486412975617466,0.2986114007594216,0.0891687686635039
XRT_1_AutoML_1_20260613_181134,0.125,0.9340625,0.3382710504651539,0.9210620238927802,0.3261562817234281,0.1063779201076522
GBM_grid_1_AutoML_1_20260613_181134_model_8,0.125,0.92625,0.3771340908061001,0.922320540172882,0.3428006159045157,0.1175122622645153
GBM_grid_1_AutoML_1_20260613_181134_model_17,0.125,0.940625,0.3183516673505174,0.9290195070522826,0.3147871639389172,0.0990909585807067
XGBoost_grid_1_AutoML_1_20260613_181134_model_2,0.125,0.94,0.3212831598895548,0.9371872041692896,0.3116046287218563,0.0970974446408859
XGBoost_grid_1_AutoML_1_20260613_181134_model_32,0.125,0.951875,0.2769401556228079,0.9547372376847032,0.2957747218516023,0.0874826860863927
XGBoost_grid_1_AutoML_1_20260613_181134_model_30,0.125,0.9325,0.3266578391340039,0.941131906418941,0.3173572695602145,0.1007156365427146
XGBoost_grid_1_AutoML_1_20260613_181134_model_8,0.1375,0.930625,0.3495826988260641,0.9422896113807634,0.3258165497540816,0.1061564240936539
XGBoost_grid_1_AutoML_1_20260613_181134_model_11,0.1375,0.929375,0.3452919510360757,0.9418558056803694,0.3257968189460264,0.1061435672353499
XGBoost_grid_1_AutoML_1_20260613_181134_model_15,0.1375,0.93625,0.3415426916570075,0.942473583700071,0.3200163617662275,0.102410471798093
DeepLearning_grid_1_AutoML_1_20260613_181134_model_2,0.1375,0.865,0.6453218277630753,0.7712652038024336,0.3696251363231222,0.1366227414018867
