y_true,y_pred,score_malicious
Benign,Benign,0.006065903645738
Malicious,Malicious,0.9594925627398392
Malicious,Malicious,0.9625823740623206
Benign,Benign,0.0176075531478886
Benign,Malicious,0.9837416356568904
Benign,Benign,0.2731918025697172
Benign,Benign,0.0960447539651881
Benign,Benign,0.21573948641913
Benign,Benign,0.1729384400274545
Malicious,Benign,0.4333278051332551
Malicious,Malicious,0.575658857868385
Malicious,Malicious,0.990393269306047
Malicious,Benign,0.0881755522586134
Benign,Benign,0.1186782743622048
Benign,Benign,0.3720516693141315
Malicious,Malicious,0.9863167273321
Benign,Benign,0.0063394462489601
Malicious,Malicious,0.9950034846688788
Malicious,Malicious,0.9912615369290566
Benign,Benign,0.032595596784621
Benign,Benign,0.0079899847269915
Benign,Benign,0.0128890222774368
Malicious,Benign,0.4288864977426661
Benign,Benign,0.3782000601214846
Malicious,Malicious,0.7351949285704824
Malicious,Malicious,0.9842009924259943
Malicious,Malicious,0.9422813065017268
Benign,Benign,0.0066508496218153
Benign,Benign,0.3387436721390676
Malicious,Malicious,0.5920719684833721
Malicious,Benign,0.4501511446052625
Benign,Benign,0.0075330630787094
Malicious,Malicious,0.9884252164423588
Benign,Benign,0.0077748852972728
Benign,Malicious,0.7864474688033714
Malicious,Malicious,0.8447702060089206
Benign,Benign,0.0242407413625857
Malicious,Malicious,0.9890435429390472
Malicious,Malicious,0.8626301340089139
Benign,Benign,0.0304577135820408
Malicious,Malicious,0.9678617038713864
Malicious,Malicious,0.6419396356300815
Malicious,Malicious,0.9694051913777936
Benign,Benign,0.1231610574273914
Malicious,Malicious,0.9356284216470048
Benign,Benign,0.0300260011440391
Benign,Benign,0.0308198722472638
Benign,Benign,0.0079899847269915
Benign,Benign,0.0112478547930886
Benign,Benign,0.111563280914321
Benign,Benign,0.0098578763516545
Benign,Benign,0.0105691232466335
Malicious,Malicious,0.9923262717053236
Malicious,Malicious,0.9945408418233436
Malicious,Malicious,0.8848492266616799
Malicious,Benign,0.1992471440133923
Benign,Benign,0.1021748147276717
Benign,Benign,0.1756759017163057
Malicious,Malicious,0.926644834408152
Malicious,Malicious,0.9216931050727132
Malicious,Malicious,0.9963949595334904
Benign,Benign,0.0158245440155032
Malicious,Malicious,0.9926202539952426
Malicious,Malicious,0.974925321768246
Benign,Benign,0.0315517948716683
Malicious,Malicious,0.9952210232899318
Malicious,Benign,0.3889724435679048
Benign,Benign,0.0130374094486019
Benign,Benign,0.009342260110594
Benign,Benign,0.013911077071307
Benign,Benign,0.0083310605276585
Malicious,Benign,0.4079512316912021
Malicious,Malicious,0.9013027039276194
Benign,Benign,0.0103748464131196
Malicious,Malicious,0.9970337906711304
Malicious,Malicious,0.6959188227521476
Benign,Malicious,0.6393257694836657
Malicious,Malicious,0.940647682221749
Malicious,Malicious,0.992726146455029
Benign,Benign,0.1386709057136175
