Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Precision,Recall,macro_f1_metric,Time Taken
LogisticRegression,0.8875,0.8875,0.923125,0.8874824191279889,0.8877423389618512,0.8875,0.8874824191279886,0.04324483871459961
RandomForestClassifier,0.875,0.875,0.9400000000000001,0.8749218261413384,0.8759398496240601,0.875,0.8749218261413383,0.273054838180542
LGBMClassifier,0.875,0.875,0.939375,0.8749218261413384,0.8759398496240601,0.875,0.8749218261413383,0.0775151252746582
CalibratedClassifierCV,0.875,0.875,0.910625,0.8746867167919798,0.8787878787878789,0.875,0.87468671679198,0.09424185752868652
RidgeClassifier,0.875,0.875,0.916875,0.8742928975487114,0.8836317135549873,0.875,0.8742928975487115,0.029906272888183594
LinearDiscriminantAnalysis,0.875,0.875,0.914375,0.8742928975487114,0.8836317135549873,0.875,0.8742928975487115,0.05823969841003418
LinearSVC,0.8625,0.8625,0.9106250000000001,0.8623063683304647,0.8645505971087367,0.8625,0.8623063683304647,0.06102561950683594
RidgeClassifierCV,0.8625,0.8625,0.9168750000000001,0.8619607843137256,0.8682539682539682,0.8625,0.8619607843137256,0.03877711296081543
NuSVC,0.8375,0.8374999999999999,0.9074999999999999,0.8374746054070948,0.8377110694183866,0.8375,0.8374746054070948,0.04557037353515625
SGDClassifier,0.8375,0.8374999999999999,0.8868750000000001,0.8374746054070948,0.8377110694183866,0.8375,0.8374746054070948,0.04397463798522949
AdaBoostClassifier,0.8375,0.8374999999999999,0.92375,0.8374746054070948,0.8377110694183866,0.8375,0.8374746054070948,0.23752570152282715
ExtraTreesClassifier,0.8375,0.8375,0.925,0.8372711625723674,0.839409176618479,0.8375,0.8372711625723674,0.1927940845489502
BaggingClassifier,0.8375,0.8375,0.93125,0.836862745098039,0.8428571428571429,0.8375,0.8368627450980393,0.0871725082397461
Perceptron,0.825,0.825,0.88375,0.8248905565978737,0.825814536340852,0.825,0.8248905565978737,0.028677940368652344
SVC,0.825,0.825,0.9093749999999999,0.8245614035087719,0.8282828282828282,0.825,0.8245614035087719,0.04192495346069336
KNeighborsClassifier,0.8125,0.8125,0.868125,0.8100965342617503,0.8291639236339696,0.8125,0.8100965342617503,0.03338170051574707
DecisionTreeClassifier,0.7875,0.7875000000000001,0.7875,0.7874667916862009,0.7876797998749219,0.7875,0.7874667916862009,0.04446268081665039
LabelPropagation,0.7875,0.7875,,0.7858604944103291,0.7965828497743391,0.7875,0.7858604944103291,0.04547715187072754
LabelSpreading,0.7875,0.7875,,0.7858604944103291,0.7965828497743391,0.7875,0.7858604944103291,0.04888105392456055
PassiveAggressiveClassifier,0.775,0.7749999999999999,0.87625,0.7678916827852997,0.8133903133903134,0.775,0.7678916827852997,0.032680511474609375
ExtraTreeClassifier,0.75,0.75,0.75,0.7493734335839599,0.7525252525252526,0.75,0.7493734335839599,0.03303861618041992
GaussianNB,0.75,0.75,0.85375,0.7421018697614443,0.7849002849002849,0.75,0.7421018697614443,0.030553102493286133
BernoulliNB,0.725,0.7250000000000001,0.856875,0.7243107769423559,0.7272727272727273,0.725,0.7243107769423559,0.030127525329589844
NearestCentroid,0.7125,0.7125,0.81875,0.7113725490196078,0.7158730158730159,0.7125,0.7113725490196079,0.03782057762145996
QuadraticDiscriminantAnalysis,0.6875,0.6875,0.8937499999999999,0.6688193409504886,0.742130750605327,0.6875,0.6688193409504886,0.032717227935791016
DummyClassifier,0.5,0.5,0.5,0.3333333333333333,0.25,0.5,0.3333333333333333,0.030930519104003906
