y_true,y_pred
Benign,Benign
Malicious,Malicious
Malicious,Malicious
Benign,Benign
Benign,Benign
Benign,Benign
Benign,Benign
Benign,Benign
Benign,Benign
Malicious,Malicious
Malicious,Malicious
Malicious,Malicious
Malicious,Benign
Benign,Benign
Benign,Benign
Malicious,Malicious
Benign,Benign
Malicious,Malicious
Malicious,Malicious
Benign,Benign
Benign,Benign
Benign,Benign
Malicious,Malicious
Benign,Benign
Malicious,Malicious
Malicious,Malicious
Malicious,Malicious
Benign,Benign
Benign,Malicious
Malicious,Benign
Malicious,Malicious
Benign,Benign
Malicious,Malicious
Benign,Benign
Benign,Malicious
Malicious,Malicious
Benign,Benign
Malicious,Malicious
Malicious,Malicious
Benign,Benign
Malicious,Malicious
Malicious,Malicious
Malicious,Malicious
Benign,Benign
Malicious,Malicious
Benign,Benign
Benign,Benign
Benign,Benign
Benign,Benign
Benign,Benign
Benign,Benign
Benign,Benign
Malicious,Malicious
Malicious,Malicious
Malicious,Benign
Malicious,Benign
Benign,Benign
Benign,Benign
Malicious,Malicious
Malicious,Malicious
Malicious,Malicious
Benign,Benign
Malicious,Malicious
Malicious,Malicious
Benign,Benign
Malicious,Malicious
Malicious,Malicious
Benign,Benign
Benign,Benign
Benign,Benign
Benign,Benign
Malicious,Benign
Malicious,Malicious
Benign,Benign
Malicious,Malicious
Malicious,Malicious
Benign,Malicious
Malicious,Malicious
Malicious,Malicious
Benign,Malicious
