y_real,y_pred,score_malicious
Benign,Benign,0.72
Malicious,Benign,0.52
Malicious,Benign,0.58
Benign,Benign,0.83
Benign,Benign,0.94
Benign,Benign,0.75
Benign,Malicious,0.61
Benign,Benign,0.55
Benign,Benign,0.98
Malicious,Malicious,0.8
Malicious,Benign,0.57
Malicious,Malicious,1.0
Malicious,Malicious,0.98
Benign,Benign,0.94
Benign,Benign,0.88
Malicious,Malicious,0.85
Benign,Benign,0.87
Malicious,Malicious,0.9
Malicious,Benign,0.77
Benign,Benign,0.66
Benign,Malicious,0.75
Benign,Benign,0.96
Malicious,Malicious,0.54
Benign,Malicious,0.54
Malicious,Malicious,0.88
Malicious,Malicious,0.89
Malicious,Benign,0.57
Benign,Benign,0.84
Benign,Benign,1.0
Malicious,Malicious,0.54
Malicious,Malicious,0.62
Benign,Benign,0.82
Malicious,Malicious,0.88
Benign,Benign,0.91
Benign,Benign,0.6
Malicious,Malicious,0.97
Benign,Benign,0.83
Malicious,Benign,0.73
Malicious,Malicious,0.78
Benign,Benign,0.86
Malicious,Benign,0.76
Malicious,Malicious,0.67
Malicious,Malicious,0.58
Benign,Benign,0.53
Malicious,Malicious,0.74
Benign,Benign,0.52
Benign,Malicious,0.59
Benign,Malicious,0.52
Benign,Benign,0.96
Benign,Benign,0.94
Benign,Malicious,0.6
Benign,Benign,0.6
Malicious,Malicious,0.88
Malicious,Malicious,0.82
Malicious,Malicious,0.93
Malicious,Benign,0.57
Benign,Benign,0.79
Benign,Benign,0.73
Malicious,Malicious,1.0
Malicious,Malicious,0.66
Malicious,Malicious,0.93
Benign,Benign,0.87
Malicious,Malicious,0.52
Malicious,Benign,0.56
Benign,Malicious,0.66
Malicious,Benign,0.67
Malicious,Malicious,0.53
Benign,Benign,0.75
Benign,Malicious,0.75
Benign,Benign,0.57
Benign,Benign,0.91
Malicious,Malicious,0.97
Malicious,Benign,0.7
Benign,Benign,0.69
Malicious,Benign,0.54
Malicious,Malicious,0.8
Benign,Benign,0.55
Malicious,Benign,0.8
Malicious,Malicious,0.97
Benign,Benign,0.63
