Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,Balanced Accuracy,TT (Sec)
Extra Trees Classifier,0.7546,0.8256,0.7546,0.7602,0.7536,0.5103,0.5152,0.7557,0.074
Random Forest Classifier,0.7369,0.8382,0.7369,0.7402,0.7356,0.4743,0.4772,0.7374,0.086
Light Gradient Boosting Machine,0.7324,0.8124,0.7324,0.7336,0.732,0.4645,0.4657,0.7322,0.066
Decision Tree Classifier,0.7237,0.7239,0.7237,0.7298,0.7214,0.4477,0.4535,0.7239,0.016
Gradient Boosting Classifier,0.7102,0.831,0.7102,0.7143,0.7078,0.4202,0.4242,0.7101,0.052
Linear Discriminant Analysis,0.7059,0.7368,0.7059,0.709,0.7054,0.4124,0.415,0.7065,0.018
Ada Boost Classifier,0.7014,0.781,0.7014,0.7045,0.6993,0.4014,0.405,0.7004,0.046
Ridge Classifier,0.697,0.7468,0.697,0.7015,0.6961,0.3941,0.3984,0.6972,0.014
Logistic Regression,0.6787,0.715,0.6787,0.6817,0.6775,0.3581,0.3605,0.6792,1.578
Quadratic Discriminant Analysis,0.6746,0.7798,0.6746,0.6863,0.6575,0.3465,0.3594,0.6737,0.018
Naive Bayes,0.6116,0.6926,0.6116,0.6528,0.5771,0.2222,0.2596,0.6115,0.016
K Neighbors Classifier,0.5896,0.6538,0.5896,0.5921,0.5882,0.1806,0.1822,0.5905,0.924
Dummy Classifier,0.4911,0.5,0.4911,0.2412,0.3235,0.0,0.0,0.5,0.014
SVM - Linear Kernel,0.4951,0.6123,0.4951,0.4306,0.3991,-0.0157,-0.0263,0.4919,0.014
