y_true,y_pred,score_malicious
Benign,Benign,0.03
Malicious,Malicious,0.9
Malicious,Malicious,0.64
Benign,Benign,0.01
Benign,Malicious,0.94
Benign,Benign,0.12
Benign,Benign,0.29
Benign,Benign,0.38
Benign,Benign,0.36
Malicious,Malicious,0.53
Malicious,Malicious,0.68
Malicious,Malicious,0.94
Malicious,Benign,0.19
Benign,Benign,0.33
Benign,Malicious,0.54
Malicious,Malicious,0.94
Benign,Benign,0.03
Malicious,Malicious,0.96
Malicious,Malicious,0.97
Benign,Benign,0.04
Benign,Benign,0.0
Benign,Benign,0.06
Malicious,Malicious,0.53
Benign,Benign,0.43
Malicious,Benign,0.39
Malicious,Malicious,0.76
Malicious,Malicious,0.89
Benign,Benign,0.09
Benign,Benign,0.38
Malicious,Benign,0.32
Malicious,Malicious,0.63
Benign,Benign,0.02
Malicious,Malicious,0.96
Benign,Benign,0.04
Benign,Malicious,0.55
Malicious,Malicious,0.89
Benign,Benign,0.24
Malicious,Malicious,0.99
Malicious,Malicious,0.74
Benign,Benign,0.29
Malicious,Malicious,0.95
Malicious,Malicious,0.69
Malicious,Malicious,0.86
Benign,Benign,0.11
Malicious,Malicious,0.86
Benign,Benign,0.15
Benign,Benign,0.08
Benign,Benign,0.0
Benign,Benign,0.02
Benign,Benign,0.11
Benign,Benign,0.0
Benign,Benign,0.03
Malicious,Malicious,0.9
Malicious,Malicious,0.99
Malicious,Malicious,0.7
Malicious,Benign,0.15
Benign,Benign,0.47
Benign,Malicious,0.51
Malicious,Malicious,0.75
Malicious,Malicious,0.84
Malicious,Malicious,0.96
Benign,Benign,0.03
Malicious,Malicious,0.98
Malicious,Malicious,0.9
Benign,Benign,0.02
Malicious,Malicious,0.98
Malicious,Benign,0.3
Benign,Benign,0.06
Benign,Benign,0.0
Benign,Benign,0.01
Benign,Benign,0.03
Malicious,Benign,0.45
Malicious,Malicious,0.78
Benign,Benign,0.01
Malicious,Malicious,1.0
Malicious,Malicious,0.53
Benign,Benign,0.44
Malicious,Malicious,0.91
Malicious,Malicious,1.0
Benign,Benign,0.47
