y_true,y_pred,score_malicious
Benign,0,0.0378731434443805
Malicious,1,0.9712350543072276
Malicious,1,0.8886079317230737
Benign,0,0.1224828431896407
Benign,0,0.39020193303970147
Benign,0,0.21741132980969957
Benign,0,0.05898521183042976
Benign,0,0.24964161188840997
Benign,0,0.2476005771966173
Malicious,0,0.49487189281936544
Malicious,0,0.35848470247992276
Malicious,1,0.7214025687852286
Malicious,0,0.06411074962619005
Benign,0,0.16995517606023477
Benign,1,0.8273024254890075
Malicious,1,0.9896615748292172
Benign,0,0.029492791502245406
Malicious,1,0.9962732843614284
Malicious,1,0.9600339112457426
Benign,0,0.24281835248106112
Benign,0,0.08707160977711477
Benign,0,0.08372913912994251
Malicious,0,0.4343304932972865
Benign,1,0.6131298673211547
Malicious,1,0.5591412961614074
Malicious,1,0.998089322741492
Malicious,1,0.7639188844209408
Benign,0,0.06444501173519629
Benign,0,0.4750690080319687
Malicious,0,0.43674270457514264
Malicious,1,0.9530533702977455
Benign,0,0.04164530089943933
Malicious,1,0.9566020598324525
Benign,0,0.04842581665513131
Benign,1,0.8661938507033474
Malicious,1,0.6723872129568871
Benign,0,0.37929004099402885
Malicious,1,0.9538608368213671
Malicious,1,0.8431983082236666
Benign,0,0.4751135283760937
Malicious,1,0.8677037173693712
Malicious,1,0.6200283990542652
Malicious,1,0.8838834143966948
Benign,0,0.32381918288893774
Malicious,1,0.9216652084677383
Benign,0,0.10865217429935514
Benign,0,0.04194496473924211
Benign,0,0.09535212059137967
Benign,0,0.03818982248831475
Benign,0,0.06336503740002485
Benign,0,0.08621444100346445
Benign,0,0.049663991971295264
Malicious,1,0.9151375535832339
Malicious,1,0.9968686252633706
Malicious,1,0.7434404915922477
Malicious,0,0.07717077182628805
Benign,1,0.5170757667637919
Benign,0,0.2647319344509854
Malicious,1,0.5758644404580016
Malicious,1,0.9878824574169244
Malicious,1,0.9998262351694281
Benign,0,0.02197845760695967
Malicious,1,0.9899367104511627
Malicious,1,0.9764363599216996
Benign,0,0.06653158026030635
Malicious,1,0.9236621089579903
Malicious,0,0.3726987426888979
Benign,0,0.15395210732776438
Benign,0,0.023361047366273632
Benign,0,0.024737616227909032
Benign,0,0.052553921957568916
Malicious,1,0.5520140797690685
Malicious,1,0.7173740782324044
Benign,0,0.042275549813512225
Malicious,1,0.9992219706557058
Malicious,1,0.5238352334310624
Benign,1,0.9733953945241508
Malicious,1,0.912978481466617
Malicious,1,0.9784946946135609
Benign,0,0.42792874279491794
